instance,instance_sha256,method,maxsat_configuration,maxsat_status,gurobi_status,cplex_status,commercial_status_agreement,commercial_objective_agreement_when_optimal,maxsat_status_agreement_when_decided,maxsat_objective_agreement_when_optimal,maxsat_elapsed_seconds,gurobi_elapsed_seconds,cplex_elapsed_seconds,cplex_over_gurobi_runtime
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_20_5_3.txt,00c04d1a2f35c7911db04db07c768739e96fddd1bbda7e4c2f9ce73cae559448,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,89.32652139,0.224452389,0.481981805,2.1473676762691976
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_20_5_3.txt,00c04d1a2f35c7911db04db07c768739e96fddd1bbda7e4c2f9ce73cae559448,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,5.819807514,0.073865398,0.147795254,2.000872641341484
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_20_4_2.txt,025718ae2c24c8d0e31e9ac519c74dfe0ec011694ca01fea084f5967a34d77cb,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,81.4344411,0.204686053,0.477102977,2.330901251000233
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_20_4_2.txt,025718ae2c24c8d0e31e9ac519c74dfe0ec011694ca01fea084f5967a34d77cb,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,19.9038738,0.069012107,0.096283559,1.3951690969238195
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_15_4_1.txt,08753e549b448dbbe278003c40c649f97101629198f9d13290f91a66f104ad08,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,112.1104615,0.205868497,0.373177298,1.812697442484364
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_15_4_1.txt,08753e549b448dbbe278003c40c649f97101629198f9d13290f91a66f104ad08,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,26.80018735,0.077213118,0.098228611,1.2721751632928486
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_25_5_1.txt,119414c1057b93e4d5b9f962d9e443c5e6cc573ebda819842b68244174911d76,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,102.0921086,0.282400182,0.641820391,2.272733630886966
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_25_5_1.txt,119414c1057b93e4d5b9f962d9e443c5e6cc573ebda819842b68244174911d76,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,25.20660657,0.10545714,0.177502139,1.6831685270433088
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_15_5_3.txt,143aa4738d0e95ce9f6c07e285723a9971c6b3dc893447dcab654fd02469eef2,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,84.82310147,0.163730757,0.270673744,1.653163699719534
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_15_5_3.txt,143aa4738d0e95ce9f6c07e285723a9971c6b3dc893447dcab654fd02469eef2,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,11.98488207,0.05493334,0.084840164,1.5444202737354036
