instance,instance_sha256,backend,wc,wo,left,right,continuity_left,overtime_left,similarity_left,split_groups_left,continuity_right,overtime_right,similarity_right,split_groups_right,different_caregiver_services,different_slot_services,different_caregiver_groups,workload_l1,parent_sha256,parent_instance,family,target_rho,realized_rho,normal_fraction,anchor,continuity_right_minus_left,overtime_right_minus_left,similarity_right_minus_left,different_objective_vector
instances/research_depth_load_sweep/rho0.55_normal1/instance_u40_a20_v5_seed1002_critical.txt,0c9d395c4a4cf1b11bca4be8d62f5efe0800c9745905abd3b9888319f8459ea0,gurobi-mip,1,1,lex-cos,lex-overtime,0,0,735,0,0,0,735,0,0,0,0,0,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,u40_seed1002,0.55,0.5494505494505495,1.0,False,0,0,0,False
instances/research_depth_load_sweep/rho0.55_normal1/instance_u40_a20_v5_seed1002_critical.txt,0c9d395c4a4cf1b11bca4be8d62f5efe0800c9745905abd3b9888319f8459ea0,gurobi-mip,1,1,lex-cos,weighted,0,0,735,0,6,0,755,6,42,106,26,32,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,u40_seed1002,0.55,0.5494505494505495,1.0,False,6,0,20,True
instances/research_depth_load_sweep/rho0.55_normal1/instance_u40_a20_v5_seed1002_critical.txt,0c9d395c4a4cf1b11bca4be8d62f5efe0800c9745905abd3b9888319f8459ea0,gurobi-mip,1,1,lex-overtime,weighted,0,0,735,0,6,0,755,6,42,106,26,32,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,u40_seed1002,0.55,0.5494505494505495,1.0,False,6,0,20,True
instances/research_depth_load_sweep/rho0.98_normal1/instance_u30_a15_v5_seed1002_critical.txt,1fe632bd9e398426d2150595ae238afd4e9dbb467ac66785d8c96fbdb8f02238,gurobi-mip,1,1,lex-cos,lex-overtime,3,0,501,3,3,0,501,3,0,0,0,0,62008dec11bbf59cff06c3683881ade351ca92418b870d35d1f1890238c858bd,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1002_critical.txt,u30_seed1002,0.98,0.974025974025974,1.0,False,0,0,0,False
instances/research_depth_load_sweep/rho0.98_normal1/instance_u30_a15_v5_seed1002_critical.txt,1fe632bd9e398426d2150595ae238afd4e9dbb467ac66785d8c96fbdb8f02238,gurobi-mip,1,1,lex-cos,weighted,3,0,501,3,10,0,540,10,54,80,34,0,62008dec11bbf59cff06c3683881ade351ca92418b870d35d1f1890238c858bd,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1002_critical.txt,u30_seed1002,0.98,0.974025974025974,1.0,False,7,0,39,True
instances/research_depth_load_sweep/rho0.98_normal1/instance_u30_a15_v5_seed1002_critical.txt,1fe632bd9e398426d2150595ae238afd4e9dbb467ac66785d8c96fbdb8f02238,gurobi-mip,1,1,lex-overtime,weighted,3,0,501,3,10,0,540,10,54,80,34,0,62008dec11bbf59cff06c3683881ade351ca92418b870d35d1f1890238c858bd,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1002_critical.txt,u30_seed1002,0.98,0.974025974025974,1.0,False,7,0,39,True
instances/research_depth_load_sweep/rho0.55_normal0.85/instance_u30_a20_v5_seed1002_critical.txt,a7e7c349d378182d6ea63e02254d37fc4998474b6e3e2c66aac235cc0b85287c,gurobi-mip,1,1,lex-cos,lex-overtime,0,0,529,0,0,0,529,0,0,0,0,0,89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,u30_seed1002,0.55,0.5494505494505495,0.85,False,0,0,0,False
instances/research_depth_load_sweep/rho0.55_normal0.85/instance_u30_a20_v5_seed1002_critical.txt,a7e7c349d378182d6ea63e02254d37fc4998474b6e3e2c66aac235cc0b85287c,gurobi-mip,1,1,lex-cos,weighted,0,0,529,0,8,0,560,8,40,63,22,36,89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,u30_seed1002,0.55,0.5494505494505495,0.85,False,8,0,31,True
instances/research_depth_load_sweep/rho0.55_normal0.85/instance_u30_a20_v5_seed1002_critical.txt,a7e7c349d378182d6ea63e02254d37fc4998474b6e3e2c66aac235cc0b85287c,gurobi-mip,1,1,lex-overtime,weighted,0,0,529,0,8,0,560,8,40,63,22,36,89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,u30_seed1002,0.55,0.5494505494505495,0.85,False,8,0,31,True
instances/research_depth_load_sweep/rho0.85_normal0.7/instance_u40_a20_v4_seed1001_critical.txt,6f0ef0905b02cfe6c257c5b6f09917d76225fe4632a36940f45f6ab8c3bdfc67,gurobi-mip,1,1,lex-cos,lex-overtime,0,28,588,0,0,28,588,0,0,0,0,0,f05bb4ba1ebe8ecf0e95e0508ba8cba7463abb6f7c5a573eafb693c49e861cc0,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1001_critical.txt,u40_seed1001,0.85,0.8465608465608465,0.7,False,0,0,0,False
