instance_sha256,backend,wc,wo,instance,slack,status,continuity_reference,continuity,overtime,similarity
017118e5960c7e18a239e77b1f198b44915ed895aea6f231bb872df91f90f0f2,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1003_critical.txt,0,OPTIMUM,1,1,0,648
017118e5960c7e18a239e77b1f198b44915ed895aea6f231bb872df91f90f0f2,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1003_critical.txt,1,OPTIMUM,1,2,0,658
017118e5960c7e18a239e77b1f198b44915ed895aea6f231bb872df91f90f0f2,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1003_critical.txt,2,OPTIMUM,1,3,0,663
03e563fb6290ae5b10f29c4bd69e140d46f5db64516b7ab5dad7e2186df2197b,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1001_critical.txt,0,OPTIMUM,0,0,0,575
03e563fb6290ae5b10f29c4bd69e140d46f5db64516b7ab5dad7e2186df2197b,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1001_critical.txt,1,OPTIMUM,0,1,0,582
03e563fb6290ae5b10f29c4bd69e140d46f5db64516b7ab5dad7e2186df2197b,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1001_critical.txt,2,OPTIMUM,0,2,0,585
08c9dd197d381bb1f7911fb0a8737b245d2c574183b871f4ce8688d8a15bcd12,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1003_critical.txt,0,OPTIMUM,0,0,0,657
08c9dd197d381bb1f7911fb0a8737b245d2c574183b871f4ce8688d8a15bcd12,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1003_critical.txt,1,OPTIMUM,0,1,0,669
08c9dd197d381bb1f7911fb0a8737b245d2c574183b871f4ce8688d8a15bcd12,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1003_critical.txt,2,OPTIMUM,0,2,0,675
0a4cc1c9eac79eca9e0861f05de893ae18e2c331afdb25b03c6efb933da1d71a,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1001_critical.txt,0,OPTIMUM,0,0,0,410
0a4cc1c9eac79eca9e0861f05de893ae18e2c331afdb25b03c6efb933da1d71a,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1001_critical.txt,1,OPTIMUM,0,1,0,411
0a4cc1c9eac79eca9e0861f05de893ae18e2c331afdb25b03c6efb933da1d71a,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1001_critical.txt,2,OPTIMUM,0,2,0,412
