target_rho,normal_fraction,backend,left,right,paired_instances,parent_families,conflicts,mean_continuity_right_minus_left,mean_overtime_right_minus_left,mean_similarity_right_minus_left
0.55,0.7,gurobi-mip,lex-cos,lex-overtime,48,6,0,0,0,0
0.55,0.7,gurobi-mip,lex-cos,weighted,48,6,46,4.375,1.3958333333333333,14.041666666666666
0.55,0.7,gurobi-mip,lex-overtime,weighted,48,6,46,4.375,1.3958333333333333,14.041666666666666
0.55,0.85,gurobi-mip,lex-cos,lex-overtime,48,6,0,0,0,0
0.55,0.85,gurobi-mip,lex-cos,weighted,48,6,40,4.291666666666667,0.3125,11.9375
0.55,0.85,gurobi-mip,lex-overtime,weighted,48,6,40,4.291666666666667,0.3125,11.9375
0.55,1.0,gurobi-mip,lex-cos,lex-overtime,48,6,0,0,0,0
0.55,1.0,gurobi-mip,lex-cos,weighted,48,6,40,4.270833333333333,0,11.833333333333334
0.55,1.0,gurobi-mip,lex-overtime,weighted,48,6,40,4.270833333333333,0,11.833333333333334
0.85,0.7,gurobi-mip,lex-cos,lex-overtime,48,6,0,0,0,0
0.85,0.7,gurobi-mip,lex-cos,weighted,48,6,48,5.708333333333333,4.229166666666667,23.375
0.85,0.7,gurobi-mip,lex-overtime,weighted,48,6,48,5.708333333333333,4.229166666666667,23.375
0.85,0.85,gurobi-mip,lex-cos,lex-overtime,48,6,3,0.0625,-0.0625,0.10416666666666667
0.85,0.85,gurobi-mip,lex-cos,weighted,48,6,48,5.4375,11.041666666666666,40.604166666666664
0.85,0.85,gurobi-mip,lex-overtime,weighted,48,6,48,5.375,11.104166666666666,40.5
0.85,1.0,gurobi-mip,lex-cos,lex-overtime,48,6,0,0,0,0
0.85,1.0,gurobi-mip,lex-cos,weighted,48,6,44,5.4375,0,15.416666666666666
0.85,1.0,gurobi-mip,lex-overtime,weighted,48,6,44,5.4375,0,15.416666666666666
0.98,0.7,gurobi-mip,lex-cos,lex-overtime,48,6,0,0,0,0
0.98,0.7,gurobi-mip,lex-cos,weighted,48,6,46,6.479166666666667,0,20.333333333333332
0.98,0.7,gurobi-mip,lex-overtime,weighted,48,6,46,6.479166666666667,0,20.333333333333332
0.98,0.85,gurobi-mip,lex-cos,lex-overtime,48,6,0,0,0,0
0.98,0.85,gurobi-mip,lex-cos,weighted,48,6,48,6.729166666666667,0.16666666666666666,20.895833333333332
0.98,0.85,gurobi-mip,lex-overtime,weighted,48,6,48,6.729166666666667,0.16666666666666666,20.895833333333332
0.98,1.0,gurobi-mip,lex-cos,lex-overtime,48,6,0,0,0,0
0.98,1.0,gurobi-mip,lex-cos,weighted,48,6,45,6.6875,0,20.541666666666668
0.98,1.0,gurobi-mip,lex-overtime,weighted,48,6,45,6.6875,0,20.541666666666668
