instance,instance_sha256,users,agents,visits,load_profile,requested_runs,optimum_runs,unique_objective_vectors,unique_assignments,weight_order_transitions,repeated_penalty_ratio_groups,penalty_ratio_groups_with_one_vector
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1003_critical.txt,017118e5960c7e18a239e77b1f198b44915ed895aea6f231bb872df91f90f0f2,40,10,5,critical,9,9,7,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1001_critical.txt,03e563fb6290ae5b10f29c4bd69e140d46f5db64516b7ab5dad7e2186df2197b,40,25,4,critical,9,9,6,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1003_critical.txt,08c9dd197d381bb1f7911fb0a8737b245d2c574183b871f4ce8688d8a15bcd12,40,15,5,critical,9,9,8,9,7,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1001_critical.txt,0a4cc1c9eac79eca9e0861f05de893ae18e2c331afdb25b03c6efb933da1d71a,30,10,4,critical,9,9,6,9,7,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1001_critical.txt,0fa28a903cebd3a3dd85fef2874db9c94ef28e79ab436d5e05b1ed674d0dc046,40,10,5,critical,9,9,6,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1003_critical.txt,1106683ff4d0a32c24be1898a1c47de6e406379be52c648767eb810adcb9134d,30,25,4,critical,9,9,4,9,4,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1002_critical.txt,13d35da4af1d246d1dc9e9e69e18e81522824e99442b070094b3ee6de84cff54,30,25,5,critical,9,9,6,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1002_critical.txt,148c8679adee389f3bfb69e52584b46bc596198bb5146008050adc703b39182e,30,15,4,critical,9,9,6,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1003_critical.txt,1a2fbafb2974a05729c7a458b27e009b17a67dbbf649967446361307f7e124a3,30,15,4,critical,9,9,4,9,4,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1001_critical.txt,22ee92263371ecea73d08de26b04d5edec6fc04579a52160b302a4510f99ac1e,30,20,5,critical,9,9,4,9,5,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1002_critical.txt,23421d631ba25e8a6e9fc662d65c83fe6fccb717088483d568dab2b286aa89db,40,15,4,critical,9,9,9,9,8,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1003_critical.txt,2e89d655657e6565c5ecb975872229f2b89227e9d8d4becfc0d4e18894748b91,40,20,4,critical,9,9,6,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1002_critical.txt,34bd64e4677b21f310faa4406545db874dca6ae220c9a65e8a35f01abe1b0955,30,20,4,critical,9,9,7,9,7,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1003_critical.txt,395a48f8a39788bea86b6f70fb9ec6a2a924a9f8f08e8639adaf51dba4e7ae85,40,10,4,critical,9,9,8,9,8,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1003_critical.txt,3df9ad93fd31450b47bc05e23b939b69e8ff446e817f1dae19bc71c5f2d8d73d,40,25,4,critical,9,9,6,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1003_critical.txt,4e512df627d17612d29d4a3e5f36bd78eb17641a1923ef501751875f036a5ae9,40,25,5,critical,9,9,7,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1001_critical.txt,51df0f9f4a354e14ce203c3399ff72e9f90e0370b7b497467427e1d198dd119e,30,25,5,critical,9,9,6,9,8,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1002_critical.txt,559a4cbe53b4c6b0b9bb730eba6ec962c70e2de70ab1b20d1f420367127f3bf9,40,10,5,critical,9,9,9,9,8,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1002_critical.txt,5c9a8a3dcc3d1fe985ff86f0f6765ea477a79927e1fcb4a8a0be3ecb89ce8cfe,40,25,4,critical,9,9,8,9,8,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1003_critical.txt,60b67ddc948fc1382700a5f01082aad04d5d3d19d708c2351412f697e9f9ead7,40,15,4,critical,9,9,7,9,7,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1002_critical.txt,62008dec11bbf59cff06c3683881ade351ca92418b870d35d1f1890238c858bd,30,15,5,critical,9,9,6,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1002_critical.txt,639577696bca853293d2ae7d38a7ba6a70e96d5c5a65dbe9dd57285b00a779ad,30,10,5,critical,9,9,5,9,5,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1003_critical.txt,64a7b2c2ff975f7b043d37a3b7cd606305b2dcbf5aed735f467f0ff6c51b422e,30,15,5,critical,9,9,6,9,5,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1003_critical.txt,65de3dfdc16f9c773e9874c2357071bf31732b49485a995a839ed1f4d259a558,30,20,5,critical,9,9,7,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1003_critical.txt,68e2b74d850c1069e78bc56681e6d252a2a8df6699aceb2e6aaffeff722beca0,30,20,4,critical,9,9,5,9,5,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1002_critical.txt,6a86d9e04419d5434a8ac83437d7b4c9067045575a2a45a9a29888e5d862b401,40,25,5,critical,9,9,8,9,8,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1001_critical.txt,7a04660fc90733bd70c078b57f1458a7d6d3407d9182f01d456779938bbe7cac,30,25,4,critical,9,9,7,9,7,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,30,20,5,critical,9,9,7,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1002_critical.txt,8fe397ee776a8cfb744bb77da0e91099c029a4cc2c05d5c45c831bea9ff5aa62,40,20,4,critical,9,9,7,9,7,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1001_critical.txt,935abeb825bf65f5eb6f564d142868752b8f09cc140daeead539a193eee52b75,40,15,4,critical,9,9,6,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1002_critical.txt,93e26e12184989f851e4f91e33046006e375b0bdc1069591b75e6f5d66e9d66b,40,10,4,critical,9,9,8,9,8,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1001_critical.txt,9b4ded7517693f18fc14c67224a40507d9d4088119616e90b89f0bbcadb2445d,40,20,5,critical,9,9,7,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1001_critical.txt,addefcd65569a464f6ade877201060bec8b3edf54c9784bd4a2ce47e7fa65a0a,40,15,5,critical,9,9,6,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,40,20,5,critical,9,9,9,9,8,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1001_critical.txt,b98e75059c523562fbab64282673d9ea225242fe21209b5e428aee89aa625edd,40,10,4,critical,9,9,5,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1002_critical.txt,bf02b641d1ae8d30c144fab0d28c5aca968d3331c2c020b30c1e45791af1e438,30,10,4,critical,9,9,5,9,5,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1001_critical.txt,cf5584e50c87aace73c609c7ad0a93612c40b8323ca8f8a5664aa14449736764,30,15,4,critical,9,9,5,9,5,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1001_critical.txt,d4d3d128eb54871902a41a24c690d5559af2a39138098ef2902d8f1e4d8089a8,30,20,4,critical,9,9,6,9,7,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1003_critical.txt,d83d36c93f2b20d42d2082b908832af7a5bf6831774fa8060410156fd9f71c3d,40,20,5,critical,9,9,6,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1001_critical.txt,d905fad91222982a08a22ae863c33e30bfbfd97c54ac14ec4029959a98d9ffe3,30,15,5,critical,9,9,4,9,5,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1002_critical.txt,de23508d979db3048be208918f8d51242d991165e80c2414fca7a3ce4ee5b17d,30,25,4,critical,9,9,6,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1001_critical.txt,e045b0692d9963b967cc37f3afb3e58c3e9aff61a3ca6f5ab662629dc35b3201,40,25,5,critical,9,9,8,9,7,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1003_critical.txt,e90c35e7cece54d3787eeeb644bcf0edacb9c7c339799fb4aaa218f9d27dc487,30,25,5,critical,9,9,9,9,8,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1003_critical.txt,ecef75f227343cde9e2c9dfd880ff2779326fa051917a8a437023079d7d1ee16,30,10,4,critical,9,9,4,9,4,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1001_critical.txt,f0260653f1c0ec8a84896f38a9bfdbc795d01316d5a47411bbb0a60f7a6e9958,30,10,5,critical,9,9,4,9,4,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1001_critical.txt,f05bb4ba1ebe8ecf0e95e0508ba8cba7463abb6f7c5a573eafb693c49e861cc0,40,20,4,critical,9,9,6,9,6,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1003_critical.txt,f927ebb65ee27c08aa667987adf8f8a250da1264d79c4928cd88971e4a6b004e,30,10,5,critical,9,9,7,9,7,1,0
instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1002_critical.txt,fbf890b517ed96fe2ae987767a36e6554398d327dac819b9cc3837ab221b32da,40,15,5,critical,9,9,7,9,6,1,0
