"cfg_id","label","instance_name","cardinality","ic","sb","status","elapsed_s","solve_s","variables","hard_clauses","soft_clauses","best_value","similarity","continuity","overtime","coverage"
"1","ORIGINAL","instance_30_10_4_1","sorting-network","none","none","OPTIMUM","11,31394","11,27919","15458","60139","1441","416","421","5","0","120"
"1","ORIGINAL","instance_30_10_4_10","sorting-network","none","none","OPTIMUM","10,95924","10,92472","17109","59733","1399","403","410","7","0","120"
"1","ORIGINAL","instance_30_10_4_11","sorting-network","none","none","OPTIMUM","16,83621","16,80349","16332","56268","1413","390","401","11","0","120"
"1","ORIGINAL","instance_30_10_4_12","sorting-network","none","none","OPTIMUM","18,55587","18,52083","16412","60849","1360","387","394","7","0","120"
"1","ORIGINAL","instance_30_10_4_13","sorting-network","none","none","UNSATISFIABLE","0,044755","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_14","sorting-network","none","none","UNSATISFIABLE","0,048484","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_15","sorting-network","none","none","UNSATISFIABLE","0,025742","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_16","sorting-network","none","none","OPTIMUM","8,812204","8,769184","17677","67347","1562","431","436","5","0","120"
"1","ORIGINAL","instance_30_10_4_17","sorting-network","none","none","OPTIMUM","4,447372","4,420475","10648","38043","1291","400","401","1","0","120"
"1","ORIGINAL","instance_30_10_4_18","sorting-network","none","none","OPTIMUM","5,585103","5,558308","11434","40931","1382","408","414","6","0","120"
"1","ORIGINAL","instance_30_10_4_19","sorting-network","none","none","UNSATISFIABLE","0,064742","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_2","sorting-network","none","none","UNSATISFIABLE","0,076017","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_20","sorting-network","none","none","UNSATISFIABLE","0,047542","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_21","sorting-network","none","none","UNSATISFIABLE","0,075886","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_22","sorting-network","none","none","UNSATISFIABLE","0,051089","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_23","sorting-network","none","none","OPTIMUM","10,08751","10,05116","17744","62868","1499","379","382","3","0","120"
"1","ORIGINAL","instance_30_10_4_24","sorting-network","none","none","OPTIMUM","3,716942","3,686884","13402","49470","1375","387","393","6","0","120"
"1","ORIGINAL","instance_30_10_4_25","sorting-network","none","none","OPTIMUM","15,75038","15,70636","17704","68453","1435","444","446","2","0","120"
"1","ORIGINAL","instance_30_10_4_26","sorting-network","none","none","UNSATISFIABLE","0,079312","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_27","sorting-network","none","none","OPTIMUM","16,09178","16,06248","13839","44708","1374","390","402","12","0","120"
"1","ORIGINAL","instance_30_10_4_28","sorting-network","none","none","UNSATISFIABLE","0,027428","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_29","sorting-network","none","none","UNSATISFIABLE","0,049001","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_3","sorting-network","none","none","UNSATISFIABLE","0,049689","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_30","sorting-network","none","none","OPTIMUM","16,46146","16,42486","18708","63200","1482","396","405","9","0","120"
"1","ORIGINAL","instance_30_10_4_31","sorting-network","none","none","OPTIMUM","9,983316","9,951564","14443","50532","1318","372","381","9","0","120"
"1","ORIGINAL","instance_30_10_4_32","sorting-network","none","none","OPTIMUM","10,20679","10,17307","15717","58369","1493","423","424","1","0","120"
"1","ORIGINAL","instance_30_10_4_33","sorting-network","none","none","OPTIMUM","14,52008","14,48731","14662","56321","1416","434","435","1","0","120"
"1","ORIGINAL","instance_30_10_4_34","sorting-network","none","none","UNSATISFIABLE","0,049976","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_35","sorting-network","none","none","UNSATISFIABLE","0,047208","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_36","sorting-network","none","none","OPTIMUM","23,23715","23,19966","17953","64090","1497","401","406","5","0","120"
"1","ORIGINAL","instance_30_10_4_37","sorting-network","none","none","OPTIMUM","11,78375","11,75002","15129","59689","1457","440","444","4","0","120"
"1","ORIGINAL","instance_30_10_4_38","sorting-network","none","none","UNSATISFIABLE","0,050927","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_39","sorting-network","none","none","UNSATISFIABLE","0,046147","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_4","sorting-network","none","none","OPTIMUM","9,991069","9,959018","14595","56747","1419","427","430","3","0","120"
"1","ORIGINAL","instance_30_10_4_40","sorting-network","none","none","UNSATISFIABLE","0,058153","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_41","sorting-network","none","none","OPTIMUM","7,301231","7,282924","8502","27704","1236","350","356","6","0","120"
"1","ORIGINAL","instance_30_10_4_42","sorting-network","none","none","UNSATISFIABLE","0,049442","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_43","sorting-network","none","none","OPTIMUM","17,59436","17,55832","18422","61900","1427","412","419","7","0","120"
"1","ORIGINAL","instance_30_10_4_44","sorting-network","none","none","UNSATISFIABLE","0,088301","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_45","sorting-network","none","none","OPTIMUM","5,549666","5,517117","14403","53425","1363","365","371","6","0","120"
"1","ORIGINAL","instance_30_10_4_46","sorting-network","none","none","UNSATISFIABLE","0,027999","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_47","sorting-network","none","none","OPTIMUM","11,59394","11,56667","11712","40948","1390","395","399","4","0","120"
"1","ORIGINAL","instance_30_10_4_48","sorting-network","none","none","OPTIMUM","6,256806","6,23277","10175","32944","1309","375","377","2","0","120"
"1","ORIGINAL","instance_30_10_4_49","sorting-network","none","none","UNSATISFIABLE","0,086159","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_5","sorting-network","none","none","OPTIMUM","20,58137","20,55196","13334","49344","1452","418","422","4","0","120"
"1","ORIGINAL","instance_30_10_4_50","sorting-network","none","none","UNSATISFIABLE","0,049703","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_6","sorting-network","none","none","OPTIMUM","10,40899","10,37519","15363","57534","1451","388","389","1","0","120"
"1","ORIGINAL","instance_30_10_4_7","sorting-network","none","none","UNSATISFIABLE","0,049064","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_4_8","sorting-network","none","none","OPTIMUM","26,79987","26,76254","15326","52352","1365","414","421","7","0","120"
"1","ORIGINAL","instance_30_10_4_9","sorting-network","none","none","UNSATISFIABLE","0,04924","0","0","0","0","","","","","120"
"1","ORIGINAL","instance_30_10_5_1","sorting-network","none","none","OPTIMUM","20,32851","20,29099","17088","60932","1608","496","499","3","0","120"
"1","ORIGINAL","instance_30_10_5_10","sorting-network","none","none","OPTIMUM","17,63742","17,60068","17488","62411","1703","480","485","5","0","120"
"1","ORIGINAL","instance_30_10_5_11","sorting-network","none","none","UNSATISFIABLE","0,050509","0","0","0","0","","","","","120"
