"cfg_id","label","instance_name","cardinality","ic","sb","status","elapsed_s","solve_s","variables","hard_clauses","soft_clauses","best_value","similarity","continuity","overtime","coverage"
"3","SN-both-none","instance_30_10_4_1","sorting-network","both","none","OPTIMUM","17,73965","17,69007","22401","81401","1441","416","420","4","0","120"
"3","SN-both-none","instance_30_10_4_10","sorting-network","both","none","OPTIMUM","9,575819","9,52579","23901","80337","1399","403","410","7","0","120"
"3","SN-both-none","instance_30_10_4_11","sorting-network","both","none","OPTIMUM","17,76106","17,71157","22993","76322","1413","390","402","12","0","120"
"3","SN-both-none","instance_30_10_4_12","sorting-network","both","none","OPTIMUM","22,73655","22,68462","23897","83618","1360","387","394","7","0","120"
"3","SN-both-none","instance_30_10_4_13","sorting-network","both","none","UNSATISFIABLE","0,055329","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_14","sorting-network","both","none","UNSATISFIABLE","0,05528","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_15","sorting-network","both","none","UNSATISFIABLE","0,047479","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_16","sorting-network","both","none","OPTIMUM","13,50092","13,44954","24538","88421","1562","431","436","5","0","120"
"3","SN-both-none","instance_30_10_4_17","sorting-network","both","none","OPTIMUM","5,796862","5,760315","17923","59901","1291","400","402","2","0","120"
"3","SN-both-none","instance_30_10_4_18","sorting-network","both","none","OPTIMUM","3,784802","3,747383","18227","61386","1382","408","414","6","0","120"
"3","SN-both-none","instance_30_10_4_19","sorting-network","both","none","UNSATISFIABLE","0,084493","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_2","sorting-network","both","none","UNSATISFIABLE","0,093451","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_20","sorting-network","both","none","UNSATISFIABLE","0,055874","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_21","sorting-network","both","none","UNSATISFIABLE","0,097509","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_22","sorting-network","both","none","UNSATISFIABLE","0,067754","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_23","sorting-network","both","none","OPTIMUM","11,62421","11,57191","25135","85242","1499","379","381","2","0","120"
"3","SN-both-none","instance_30_10_4_24","sorting-network","both","none","OPTIMUM","5,373114","5,325602","20930","72284","1375","387","393","6","0","120"
"3","SN-both-none","instance_30_10_4_25","sorting-network","both","none","OPTIMUM","15,60782","15,55366","25018","90848","1435","444","445","1","0","120"
"3","SN-both-none","instance_30_10_4_26","sorting-network","both","none","UNSATISFIABLE","0,105429","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_27","sorting-network","both","none","OPTIMUM","19,32699","19,2831","20862","65639","1374","390","404","14","0","120"
"3","SN-both-none","instance_30_10_4_28","sorting-network","both","none","UNSATISFIABLE","0,048301","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_29","sorting-network","both","none","UNSATISFIABLE","0,062615","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_3","sorting-network","both","none","UNSATISFIABLE","0,062915","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_30","sorting-network","both","none","OPTIMUM","18,51316","18,46076","25475","83591","1482","396","404","8","0","120"
"3","SN-both-none","instance_30_10_4_31","sorting-network","both","none","OPTIMUM","10,22161","10,17234","22300","74140","1318","372","381","9","0","120"
"3","SN-both-none","instance_30_10_4_32","sorting-network","both","none","OPTIMUM","10,7704","10,72021","22795","79896","1493","423","424","1","0","120"
"3","SN-both-none","instance_30_10_4_33","sorting-network","both","none","OPTIMUM","12,38533","12,33445","22909","81373","1416","434","435","1","0","120"
"3","SN-both-none","instance_30_10_4_34","sorting-network","both","none","UNSATISFIABLE","0,064432","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_35","sorting-network","both","none","UNSATISFIABLE","0,055063","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_36","sorting-network","both","none","OPTIMUM","27,578","27,52747","24128","82944","1497","401","408","7","0","120"
"3","SN-both-none","instance_30_10_4_37","sorting-network","both","none","OPTIMUM","17,46729","17,41501","22366","81788","1457","440","443","3","0","120"
"3","SN-both-none","instance_30_10_4_38","sorting-network","both","none","UNSATISFIABLE","0,067541","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_39","sorting-network","both","none","UNSATISFIABLE","0,056474","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_4","sorting-network","both","none","OPTIMUM","11,26686","11,21709","21770","78668","1419","427","430","3","0","120"
"3","SN-both-none","instance_30_10_4_40","sorting-network","both","none","UNSATISFIABLE","0,081984","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_41","sorting-network","both","none","OPTIMUM","9,659624","9,626861","15610","48836","1236","350","356","6","0","120"
"3","SN-both-none","instance_30_10_4_42","sorting-network","both","none","UNSATISFIABLE","0,06487","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_43","sorting-network","both","none","OPTIMUM","16,64443","16,59389","24965","81653","1427","412","418","6","0","120"
"3","SN-both-none","instance_30_10_4_44","sorting-network","both","none","UNSATISFIABLE","0,125077","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_45","sorting-network","both","none","OPTIMUM","2,566073","2,517561","21803","75772","1363","365","370","5","0","120"
"3","SN-both-none","instance_30_10_4_46","sorting-network","both","none","UNSATISFIABLE","0,050628","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_47","sorting-network","both","none","OPTIMUM","10,96399","10,92594","18969","62749","1390","395","398","3","0","120"
"3","SN-both-none","instance_30_10_4_48","sorting-network","both","none","OPTIMUM","7,648129","7,61436","17133","53626","1309","375","377","2","0","120"
"3","SN-both-none","instance_30_10_4_49","sorting-network","both","none","UNSATISFIABLE","0,107524","0","0","0","0","","","","","120"
"3","SN-both-none","instance_30_10_4_5","sorting-network","both","none","OPTIMUM","18,111","18,06712","19570","68243","1452","418","422","4","0","120"
