"cfg_id","label","instance_name","cardinality","ic","sb","status","elapsed_s","solve_s","variables","hard_clauses","soft_clauses","best_value","similarity","continuity","overtime","coverage"
"4","SN-both-ss","instance_30_10_4_1","sorting-network","both","slot-service","OPTIMUM","16,11643","16,06467","22407","81427","1441","416","420","4","0","120"
"4","SN-both-ss","instance_30_10_4_10","sorting-network","both","slot-service","OPTIMUM","9,317657","9,266055","23902","80344","1399","403","409","6","0","120"
"4","SN-both-ss","instance_30_10_4_11","sorting-network","both","slot-service","OPTIMUM","14,46264","14,41231","22993","76325","1413","390","401","11","0","120"
"4","SN-both-ss","instance_30_10_4_12","sorting-network","both","slot-service","OPTIMUM","25,30568","25,25333","23897","83619","1360","387","394","7","0","120"
"4","SN-both-ss","instance_30_10_4_13","sorting-network","both","slot-service","UNSATISFIABLE","0,055652","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_14","sorting-network","both","slot-service","UNSATISFIABLE","0,056997","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_15","sorting-network","both","slot-service","UNSATISFIABLE","0,047316","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_16","sorting-network","both","slot-service","OPTIMUM","14,0725","14,01705","24544","88447","1562","431","436","5","0","120"
"4","SN-both-ss","instance_30_10_4_17","sorting-network","both","slot-service","OPTIMUM","3,623976","3,585008","17932","59940","1291","400","402","2","0","120"
"4","SN-both-ss","instance_30_10_4_18","sorting-network","both","slot-service","OPTIMUM","3,793917","3,75566","18227","61386","1382","408","414","6","0","120"
"4","SN-both-ss","instance_30_10_4_19","sorting-network","both","slot-service","UNSATISFIABLE","0,084884","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_2","sorting-network","both","slot-service","UNSATISFIABLE","0,09525","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_20","sorting-network","both","slot-service","UNSATISFIABLE","0,055725","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_21","sorting-network","both","slot-service","UNSATISFIABLE","0,096844","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_22","sorting-network","both","slot-service","UNSATISFIABLE","0,078512","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_23","sorting-network","both","slot-service","OPTIMUM","12,56982","12,51814","25136","85248","1499","379","382","3","0","120"
"4","SN-both-ss","instance_30_10_4_24","sorting-network","both","slot-service","OPTIMUM","4,25897","4,210318","20933","72300","1375","387","393","6","0","120"
"4","SN-both-ss","instance_30_10_4_25","sorting-network","both","slot-service","OPTIMUM","16,76001","16,70556","25021","90868","1435","444","446","2","0","120"
"4","SN-both-ss","instance_30_10_4_26","sorting-network","both","slot-service","UNSATISFIABLE","0,105752","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_27","sorting-network","both","slot-service","OPTIMUM","18,76536","18,72085","20867","65664","1374","390","403","13","0","120"
"4","SN-both-ss","instance_30_10_4_28","sorting-network","both","slot-service","UNSATISFIABLE","0,046964","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_29","sorting-network","both","slot-service","UNSATISFIABLE","0,062302","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_3","sorting-network","both","slot-service","UNSATISFIABLE","0,064337","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_30","sorting-network","both","slot-service","OPTIMUM","19,18606","19,1351","25475","83593","1482","396","405","9","0","120"
"4","SN-both-ss","instance_30_10_4_31","sorting-network","both","slot-service","OPTIMUM","7,126922","7,078723","22312","74195","1318","372","381","9","0","120"
"4","SN-both-ss","instance_30_10_4_32","sorting-network","both","slot-service","OPTIMUM","12,14005","12,09004","22811","79962","1493","423","424","1","0","120"
"4","SN-both-ss","instance_30_10_4_33","sorting-network","both","slot-service","OPTIMUM","19,52238","19,47009","22909","81375","1416","434","436","2","0","120"
"4","SN-both-ss","instance_30_10_4_34","sorting-network","both","slot-service","UNSATISFIABLE","0,064418","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_35","sorting-network","both","slot-service","UNSATISFIABLE","0,056215","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_36","sorting-network","both","slot-service","OPTIMUM","26,86007","26,80751","24139","82994","1497","401","406","5","0","120"
"4","SN-both-ss","instance_30_10_4_37","sorting-network","both","slot-service","OPTIMUM","14,6008","14,54932","22366","81789","1457","440","444","4","0","120"
"4","SN-both-ss","instance_30_10_4_38","sorting-network","both","slot-service","UNSATISFIABLE","0,066898","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_39","sorting-network","both","slot-service","UNSATISFIABLE","0,055659","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_4","sorting-network","both","slot-service","OPTIMUM","10,43161","10,38151","21790","78756","1419","427","430","3","0","120"
"4","SN-both-ss","instance_30_10_4_40","sorting-network","both","slot-service","UNSATISFIABLE","0,093471","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_41","sorting-network","both","slot-service","OPTIMUM","9,012648","8,980997","15634","48943","1236","350","356","6","0","120"
"4","SN-both-ss","instance_30_10_4_42","sorting-network","both","slot-service","UNSATISFIABLE","0,064804","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_43","sorting-network","both","slot-service","OPTIMUM","13,06931","13,01806","24971","81681","1427","412","418","6","0","120"
"4","SN-both-ss","instance_30_10_4_44","sorting-network","both","slot-service","UNSATISFIABLE","0,116305","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_45","sorting-network","both","slot-service","OPTIMUM","5,809532","5,760809","21811","75811","1363","365","370","5","0","120"
"4","SN-both-ss","instance_30_10_4_46","sorting-network","both","slot-service","UNSATISFIABLE","0,050832","0","0","0","0","","","","","120"
"4","SN-both-ss","instance_30_10_4_47","sorting-network","both","slot-service","OPTIMUM","7,923467","7,884446","18986","62825","1390","395","399","4","0","120"
