"cfg_id","label","instance_name","cardinality","ic","sb","status","elapsed_s","solve_s","variables","hard_clauses","soft_clauses","best_value","similarity","continuity","overtime","coverage"
"7","TOT-both-none","instance_30_10_4_1","totalizer","both","none","OPTIMUM","12,05541","12,0073","9576","78887","1441","416","420","4","0","120"
"7","TOT-both-none","instance_30_10_4_10","totalizer","both","none","OPTIMUM","9,788561","9,741089","9291","73761","1399","403","410","7","0","120"
"7","TOT-both-none","instance_30_10_4_11","totalizer","both","none","OPTIMUM","18,54175","18,49632","9038","70474","1413","390","402","12","0","120"
"7","TOT-both-none","instance_30_10_4_12","totalizer","both","none","OPTIMUM","14,74319","14,69354","9578","79760","1360","387","394","7","0","120"
"7","TOT-both-none","instance_30_10_4_13","totalizer","both","none","UNSATISFIABLE","0,050909","0","0","0","0","","","","","120"
"7","TOT-both-none","instance_30_10_4_14","totalizer","both","none","UNSATISFIABLE","0,050639","0","0","0","0","","","","","120"
"7","TOT-both-none","instance_30_10_4_15","totalizer","both","none","UNSATISFIABLE","0,045052","0","0","0","0","","","","","120"
"7","TOT-both-none","instance_30_10_4_16","totalizer","both","none","OPTIMUM","13,24665","13,19801","9903","84083","1562","431","436","5","0","120"
"7","TOT-both-none","instance_30_10_4_17","totalizer","both","none","OPTIMUM","4,372167","4,338779","8318","56985","1291","400","402","2","0","120"
"7","TOT-both-none","instance_30_10_4_18","totalizer","both","none","OPTIMUM","6,300599","6,263632","8848","65084","1382","408","413","5","0","120"
"7","TOT-both-none","instance_30_10_4_19","totalizer","both","none","UNSATISFIABLE","0,07111","0","0","0","0","","","","","120"
"7","TOT-both-none","instance_30_10_4_2","totalizer","both","none","UNSATISFIABLE","0,070497","0","0","0","0","","","","","120"
"7","TOT-both-none","instance_30_10_4_20","totalizer","both","none","UNSATISFIABLE","0,052544","0","0","0","0","","","","","120"
"7","TOT-both-none","instance_30_10_4_21","totalizer","both","none","UNSATISFIABLE","0,083614","0","0","0","0","","","","","120"
"7","TOT-both-none","instance_30_10_4_22","totalizer","both","none","UNSATISFIABLE","0,065903","0","0","0","0","","","","","120"
"7","TOT-both-none","instance_30_10_4_23","totalizer","both","none","OPTIMUM","10,50488","10,45553","9751","80290","1499","379","381","2","0","120"
"7","TOT-both-none","instance_30_10_4_24","totalizer","both","none","OPTIMUM","6,642648","6,605352","8812","65114","1375","387","394","7","0","120"
"7","TOT-both-none","instance_30_10_4_25","totalizer","both","none","OPTIMUM","16,54098","16,48823","10405","91318","1435","444","446","2","0","120"
"7","TOT-both-none","instance_30_10_4_26","totalizer","both","none","UNSATISFIABLE","0,09267","0","0","0","0","","","","","120"
"7","TOT-both-none","instance_30_10_4_27","totalizer","both","none","OPTIMUM","17,05175","17,01651","8639","59749","1374","390","403","13","0","120"
