"cfg_id","label","instance_name","cardinality","ic","sb","status","elapsed_s","solve_s","variables","hard_clauses","soft_clauses","best_value","similarity","continuity","overtime","coverage"
"8","TOT-both-ss","instance_30_10_4_1","totalizer","both","slot-service","OPTIMUM","12,64765","12,59717","9582","78913","1441","416","421","5","0","120"
"8","TOT-both-ss","instance_30_10_4_10","totalizer","both","slot-service","OPTIMUM","9,220491","9,170938","9292","73768","1399","403","411","8","0","120"
"8","TOT-both-ss","instance_30_10_4_11","totalizer","both","slot-service","OPTIMUM","14,29661","14,251","9038","70477","1413","390","402","12","0","120"
"8","TOT-both-ss","instance_30_10_4_12","totalizer","both","slot-service","OPTIMUM","22,62156","22,5728","9578","79761","1360","387","394","7","0","120"
"8","TOT-both-ss","instance_30_10_4_13","totalizer","both","slot-service","UNSATISFIABLE","0,051263","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_14","totalizer","both","slot-service","UNSATISFIABLE","0,051701","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_15","totalizer","both","slot-service","UNSATISFIABLE","0,047339","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_16","totalizer","both","slot-service","OPTIMUM","13,82075","13,76978","9909","84109","1562","431","435","4","0","120"
"8","TOT-both-ss","instance_30_10_4_17","totalizer","both","slot-service","OPTIMUM","2,672147","2,63759","8327","57024","1291","400","402","2","0","120"
"8","TOT-both-ss","instance_30_10_4_18","totalizer","both","slot-service","OPTIMUM","6,293018","6,253235","8848","65084","1382","408","413","5","0","120"
"8","TOT-both-ss","instance_30_10_4_19","totalizer","both","slot-service","UNSATISFIABLE","0,072469","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_2","totalizer","both","slot-service","UNSATISFIABLE","0,081917","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_20","totalizer","both","slot-service","UNSATISFIABLE","0,055137","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_21","totalizer","both","slot-service","UNSATISFIABLE","0,085123","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_22","totalizer","both","slot-service","UNSATISFIABLE","0,065713","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_23","totalizer","both","slot-service","OPTIMUM","8,277241","8,226367","9752","80296","1499","379","381","2","0","120"
"8","TOT-both-ss","instance_30_10_4_24","totalizer","both","slot-service","OPTIMUM","7,573355","7,53512","8815","65130","1375","387","393","6","0","120"
"8","TOT-both-ss","instance_30_10_4_25","totalizer","both","slot-service","OPTIMUM","13,36286","13,30856","10408","91338","1435","444","445","1","0","120"
"8","TOT-both-ss","instance_30_10_4_26","totalizer","both","slot-service","UNSATISFIABLE","0,093481","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_27","totalizer","both","slot-service","OPTIMUM","14,95744","14,92178","8644","59774","1374","390","402","12","0","120"
"8","TOT-both-ss","instance_30_10_4_28","totalizer","both","slot-service","UNSATISFIABLE","0,045797","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_29","totalizer","both","slot-service","UNSATISFIABLE","0,055692","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_3","totalizer","both","slot-service","UNSATISFIABLE","0,054445","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_30","totalizer","both","slot-service","OPTIMUM","18,89153","18,84009","9751","81939","1482","396","406","10","0","120"
"8","TOT-both-ss","instance_30_10_4_31","totalizer","both","slot-service","OPTIMUM","10,12086","10,07235","9195","70321","1318","372","380","8","0","120"
"8","TOT-both-ss","instance_30_10_4_32","totalizer","both","slot-service","OPTIMUM","12,96612","12,91709","9525","78416","1493","423","424","1","0","120"
"8","TOT-both-ss","instance_30_10_4_33","totalizer","both","slot-service","OPTIMUM","13,16636","13,11594","9905","82011","1416","434","436","2","0","120"
"8","TOT-both-ss","instance_30_10_4_34","totalizer","both","slot-service","UNSATISFIABLE","0,063895","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_35","totalizer","both","slot-service","UNSATISFIABLE","0,05355","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_36","totalizer","both","slot-service","OPTIMUM","21,25203","21,19841","9923","90766","1497","401","407","6","0","120"
"8","TOT-both-ss","instance_30_10_4_37","totalizer","both","slot-service","OPTIMUM","10,86651","10,81594","9813","83361","1457","440","443","3","0","120"
"8","TOT-both-ss","instance_30_10_4_38","totalizer","both","slot-service","UNSATISFIABLE","0,065255","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_39","totalizer","both","slot-service","UNSATISFIABLE","0,054215","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_4","totalizer","both","slot-service","OPTIMUM","6,766117","6,716551","9408","76460","1419","427","429","2","0","120"
"8","TOT-both-ss","instance_30_10_4_40","totalizer","both","slot-service","UNSATISFIABLE","0,069511","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_41","totalizer","both","slot-service","OPTIMUM","7,582022","7,551734","7641","46661","1236","350","356","6","0","120"
"8","TOT-both-ss","instance_30_10_4_42","totalizer","both","slot-service","UNSATISFIABLE","0,06524","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_43","totalizer","both","slot-service","OPTIMUM","20,30573","20,25444","9515","80803","1427","412","419","7","0","120"
"8","TOT-both-ss","instance_30_10_4_44","totalizer","both","slot-service","UNSATISFIABLE","0,096915","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_45","totalizer","both","slot-service","OPTIMUM","6,471804","6,426064","9039","68885","1363","365","371","6","0","120"
"8","TOT-both-ss","instance_30_10_4_46","totalizer","both","slot-service","UNSATISFIABLE","0,047763","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_47","totalizer","both","slot-service","OPTIMUM","8,220257","8,185319","8545","57989","1390","395","399","4","0","120"
"8","TOT-both-ss","instance_30_10_4_48","totalizer","both","slot-service","OPTIMUM","6,287755","6,255233","7845","49350","1309","375","377","2","0","120"
"8","TOT-both-ss","instance_30_10_4_49","totalizer","both","slot-service","UNSATISFIABLE","0,105121","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_5","totalizer","both","slot-service","OPTIMUM","13,15458","13,11179","8664","66315","1452","418","423","5","0","120"
"8","TOT-both-ss","instance_30_10_4_50","totalizer","both","slot-service","UNSATISFIABLE","0,064906","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_6","totalizer","both","slot-service","OPTIMUM","7,984528","7,932959","9659","82218","1451","388","390","2","0","120"
"8","TOT-both-ss","instance_30_10_4_7","totalizer","both","slot-service","UNSATISFIABLE","0,056077","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_4_8","totalizer","both","slot-service","OPTIMUM","25,1218","25,07544","9123","72337","1365","414","422","8","0","120"
"8","TOT-both-ss","instance_30_10_4_9","totalizer","both","slot-service","UNSATISFIABLE","0,055768","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_1","totalizer","both","slot-service","OPTIMUM","19,44064","19,38236","11340","88429","1608","496","499","3","0","120"
"8","TOT-both-ss","instance_30_10_5_10","totalizer","both","slot-service","OPTIMUM","17,496","17,43504","11577","96288","1703","480","486","6","0","120"
"8","TOT-both-ss","instance_30_10_5_11","totalizer","both","slot-service","UNSATISFIABLE","0,073985","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_12","totalizer","both","slot-service","UNSATISFIABLE","0,089899","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_13","totalizer","both","slot-service","UNSATISFIABLE","0,141952","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_14","totalizer","both","slot-service","UNSATISFIABLE","0,195782","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_15","totalizer","both","slot-service","UNSATISFIABLE","0,154573","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_16","totalizer","both","slot-service","OPTIMUM","36,05056","35,98032","12720","125166","1637","489","499","10","0","120"
"8","TOT-both-ss","instance_30_10_5_17","totalizer","both","slot-service","OPTIMUM","37,43461","37,37789","10939","85391","1568","492","505","13","0","120"
"8","TOT-both-ss","instance_30_10_5_18","totalizer","both","slot-service","OPTIMUM","31,11395","31,04025","13239","125831","1770","519","524","5","0","120"
"8","TOT-both-ss","instance_30_10_5_19","totalizer","both","slot-service","UNSATISFIABLE","0,078974","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_2","totalizer","both","slot-service","UNSATISFIABLE","0,124368","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_20","totalizer","both","slot-service","UNSATISFIABLE","0,127912","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_21","totalizer","both","slot-service","UNSATISFIABLE","0,082044","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_22","totalizer","both","slot-service","OPTIMUM","21,91423","21,84831","12456","109947","1772","497","503","6","0","120"
"8","TOT-both-ss","instance_30_10_5_23","totalizer","both","slot-service","UNSATISFIABLE","0,060314","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_24","totalizer","both","slot-service","UNSATISFIABLE","0,112749","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_25","totalizer","both","slot-service","UNSATISFIABLE","0,096389","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_26","totalizer","both","slot-service","UNSATISFIABLE","0,058958","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_27","totalizer","both","slot-service","UNSATISFIABLE","0,111498","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_28","totalizer","both","slot-service","UNSATISFIABLE","0,061054","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_29","totalizer","both","slot-service","UNSATISFIABLE","0,056532","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_3","totalizer","both","slot-service","OPTIMUM","23,77719","23,70809","12628","122615","1670","479","486","7","0","120"
"8","TOT-both-ss","instance_30_10_5_30","totalizer","both","slot-service","UNSATISFIABLE","0,070623","0","0","0","0","","","","","120"
"8","TOT-both-ss","instance_30_10_5_31","totalizer","both","slot-service","OPTIMUM","18,60364","18,54867","10616","84912","1535","517","523","6","0","120"
"8","TOT-both-ss","instance_30_10_5_32","totalizer","both","slot-service","OPTIMUM","21,75611","21,68904","12504","111385","1811","550","556","6","0","120"
