"cfg_id","label","instance_name","cardinality","ic","sb","status","elapsed_s","solve_s","variables","hard_clauses","soft_clauses","best_value","similarity","continuity","overtime","coverage"
"5","TOT-none-none","instance_30_10_4_1","totalizer","none","none","OPTIMUM","13,75772","13,72467","6161","62317","1441","416","420","4","0","120"
"5","TOT-none-none","instance_30_10_4_10","totalizer","none","none","OPTIMUM","10,40441","10,37039","5936","57797","1399","403","409","6","0","120"
"5","TOT-none-none","instance_30_10_4_11","totalizer","none","none","OPTIMUM","17,50141","17,46953","5726","54938","1413","390","402","12","0","120"
"5","TOT-none-none","instance_30_10_4_12","totalizer","none","none","OPTIMUM","15,66143","15,62678","6048","62607","1360","387","394","7","0","120"
"5","TOT-none-none","instance_30_10_4_13","totalizer","none","none","UNSATISFIABLE","0,04478","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_14","totalizer","none","none","UNSATISFIABLE","0,04647","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_15","totalizer","none","none","UNSATISFIABLE","0,025631","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_16","totalizer","none","none","OPTIMUM","11,89314","11,85152","6555","68091","1562","431","436","5","0","120"
"5","TOT-none-none","instance_30_10_4_17","totalizer","none","none","OPTIMUM","4,477236","4,45111","4770","39967","1291","400","401","1","0","120"
"5","TOT-none-none","instance_30_10_4_18","totalizer","none","none","OPTIMUM","6,745068","6,715083","5430","48777","1382","408","413","5","0","120"
"5","TOT-none-none","instance_30_10_4_19","totalizer","none","none","UNSATISFIABLE","0,06569","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_2","totalizer","none","none","UNSATISFIABLE","0,066282","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_20","totalizer","none","none","UNSATISFIABLE","0,048926","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_21","totalizer","none","none","UNSATISFIABLE","0,068098","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_22","totalizer","none","none","UNSATISFIABLE","0,053435","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_23","totalizer","none","none","OPTIMUM","5,685377","5,650588","6257","63444","1499","379","382","3","0","120"
"5","TOT-none-none","instance_30_10_4_24","totalizer","none","none","OPTIMUM","5,457702","5,428993","5370","48224","1375","387","392","5","0","120"
"5","TOT-none-none","instance_30_10_4_25","totalizer","none","none","OPTIMUM","16,24626","16,20143","6809","73557","1435","444","446","2","0","120"
"5","TOT-none-none","instance_30_10_4_26","totalizer","none","none","UNSATISFIABLE","0,068323","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_27","totalizer","none","none","OPTIMUM","13,27983","13,25332","5189","43780","1374","390","402","12","0","120"
"5","TOT-none-none","instance_30_10_4_28","totalizer","none","none","UNSATISFIABLE","0,02671","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_29","totalizer","none","none","UNSATISFIABLE","0,048699","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_3","totalizer","none","none","UNSATISFIABLE","0,048531","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_30","totalizer","none","none","OPTIMUM","13,94384","13,90125","6420","66246","1482","396","405","9","0","120"
"5","TOT-none-none","instance_30_10_4_31","totalizer","none","none","OPTIMUM","8,348505","8,317754","5510","52622","1318","372","381","9","0","120"
"5","TOT-none-none","instance_30_10_4_32","totalizer","none","none","OPTIMUM","10,2829","10,24797","6090","61899","1493","423","424","1","0","120"
"5","TOT-none-none","instance_30_10_4_33","totalizer","none","none","OPTIMUM","17,87302","17,83823","6159","63611","1416","434","435","1","0","120"
"5","TOT-none-none","instance_30_10_4_34","totalizer","none","none","UNSATISFIABLE","0,050966","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_35","totalizer","none","none","UNSATISFIABLE","0,043754","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_36","totalizer","none","none","OPTIMUM","25,26775","25,22289","6893","76672","1497","401","405","4","0","120"
"5","TOT-none-none","instance_30_10_4_37","totalizer","none","none","OPTIMUM","9,003549","8,961141","6318","66181","1457","440","443","3","0","120"
"5","TOT-none-none","instance_30_10_4_38","totalizer","none","none","UNSATISFIABLE","0,050846","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_39","totalizer","none","none","UNSATISFIABLE","0,04859","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_4","totalizer","none","none","OPTIMUM","8,252591","8,220005","5914","59551","1419","427","429","2","0","120"
"5","TOT-none-none","instance_30_10_4_40","totalizer","none","none","UNSATISFIABLE","0,058858","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_41","totalizer","none","none","OPTIMUM","9,48342","9,464163","4270","31226","1236","350","357","7","0","120"
"5","TOT-none-none","instance_30_10_4_42","totalizer","none","none","UNSATISFIABLE","0,050024","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_43","totalizer","none","none","OPTIMUM","13,57339","13,53048","6319","65912","1427","412","419","7","0","120"
"5","TOT-none-none","instance_30_10_4_44","totalizer","none","none","UNSATISFIABLE","0,067316","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_45","totalizer","none","none","OPTIMUM","7,791557","7,761273","5480","51981","1363","365","370","5","0","120"
"5","TOT-none-none","instance_30_10_4_46","totalizer","none","none","UNSATISFIABLE","0,026884","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_47","totalizer","none","none","OPTIMUM","8,826425","8,80003","4993","41386","1390","395","399","4","0","120"
"5","TOT-none-none","instance_30_10_4_48","totalizer","none","none","OPTIMUM","5,240112","5,2162","4368","32922","1309","375","377","2","0","120"
"5","TOT-none-none","instance_30_10_4_49","totalizer","none","none","UNSATISFIABLE","0,078838","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_5","totalizer","none","none","OPTIMUM","17,29161","17,26102","5528","51736","1452","418","422","4","0","120"
"5","TOT-none-none","instance_30_10_4_50","totalizer","none","none","UNSATISFIABLE","0,050626","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_6","totalizer","none","none","OPTIMUM","7,658594","7,622777","6119","65338","1451","388","389","1","0","120"
"5","TOT-none-none","instance_30_10_4_7","totalizer","none","none","UNSATISFIABLE","0,048261","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_4_8","totalizer","none","none","OPTIMUM","20,78087","20,74705","5743","56454","1365","414","421","7","0","120"
"5","TOT-none-none","instance_30_10_4_9","totalizer","none","none","UNSATISFIABLE","0,047778","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_5_1","totalizer","none","none","OPTIMUM","17,66805","17,63037","6612","63720","1608","496","500","4","0","120"
"5","TOT-none-none","instance_30_10_5_10","totalizer","none","none","OPTIMUM","25,14395","25,09577","6952","72837","1703","480","486","6","0","120"
"5","TOT-none-none","instance_30_10_5_11","totalizer","none","none","UNSATISFIABLE","0,052331","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_5_12","totalizer","none","none","UNSATISFIABLE","0,068125","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_5_13","totalizer","none","none","UNSATISFIABLE","0,117852","0","0","0","0","","","","","120"
"5","TOT-none-none","instance_30_10_5_14","totalizer","none","none","UNSATISFIABLE","0,126715","0","0","0","0","","","","","120"
