"cfg_id","label","instance_name","cardinality","ic","sb","status","elapsed_s","solve_s","variables","hard_clauses","soft_clauses","best_value","similarity","continuity","overtime","coverage"
"6","TOT-none-ss","instance_30_10_4_1","totalizer","none","slot-service","OPTIMUM","12,934","12,8976","6167","62343","1441","416","420","4","0","120"
"6","TOT-none-ss","instance_30_10_4_10","totalizer","none","slot-service","OPTIMUM","9,539493","9,504354","6342","59467","1399","403","409","6","0","120"
"6","TOT-none-ss","instance_30_10_4_11","totalizer","none","slot-service","OPTIMUM","17,52482","17,4904","6135","56471","1413","390","400","10","0","120"
"6","TOT-none-ss","instance_30_10_4_12","totalizer","none","slot-service","OPTIMUM","19,52969","19,49326","6469","64416","1360","387","395","8","0","120"
"6","TOT-none-ss","instance_30_10_4_13","totalizer","none","slot-service","UNSATISFIABLE","0,047069","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_14","totalizer","none","slot-service","UNSATISFIABLE","0,048252","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_15","totalizer","none","slot-service","UNSATISFIABLE","0,027732","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_16","totalizer","none","slot-service","OPTIMUM","11,9599","11,91498","6971","70082","1562","431","436","5","0","120"
"6","TOT-none-ss","instance_30_10_4_17","totalizer","none","slot-service","OPTIMUM","3,342739","3,314261","5208","41584","1291","400","402","2","0","120"
"6","TOT-none-ss","instance_30_10_4_18","totalizer","none","slot-service","OPTIMUM","6,756408","6,726407","5430","48777","1382","408","413","5","0","120"
"6","TOT-none-ss","instance_30_10_4_19","totalizer","none","slot-service","UNSATISFIABLE","0,067368","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_2","totalizer","none","slot-service","UNSATISFIABLE","0,065672","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_20","totalizer","none","slot-service","UNSATISFIABLE","0,048736","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_21","totalizer","none","slot-service","UNSATISFIABLE","0,068068","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_22","totalizer","none","slot-service","UNSATISFIABLE","0,052849","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_23","totalizer","none","slot-service","OPTIMUM","9,424246","9,387215","6676","65131","1499","379","381","2","0","120"
"6","TOT-none-ss","instance_30_10_4_24","totalizer","none","slot-service","OPTIMUM","5,439761","5,407189","5790","49932","1375","387","393","6","0","120"
"6","TOT-none-ss","instance_30_10_4_25","totalizer","none","slot-service","OPTIMUM","16,6511","16,60413","7237","75581","1435","444","446","2","0","120"
"6","TOT-none-ss","instance_30_10_4_26","totalizer","none","slot-service","UNSATISFIABLE","0,070563","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_27","totalizer","none","slot-service","OPTIMUM","14,11084","14,08035","5616","45152","1374","390","403","13","0","120"
"6","TOT-none-ss","instance_30_10_4_28","totalizer","none","slot-service","UNSATISFIABLE","0,0295","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_29","totalizer","none","slot-service","UNSATISFIABLE","0,050628","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_3","totalizer","none","slot-service","UNSATISFIABLE","0,048955","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_30","totalizer","none","slot-service","OPTIMUM","16,30359","16,25831","6832","67783","1482","396","405","9","0","120"
"6","TOT-none-ss","instance_30_10_4_31","totalizer","none","slot-service","OPTIMUM","9,126411","9,092807","5960","54262","1318","372","380","8","0","120"
"6","TOT-none-ss","instance_30_10_4_32","totalizer","none","slot-service","OPTIMUM","13,87352","13,83747","6106","61965","1493","423","424","1","0","120"
"6","TOT-none-ss","instance_30_10_4_33","totalizer","none","slot-service","OPTIMUM","12,20068","12,16344","6600","65499","1416","434","435","1","0","120"
"6","TOT-none-ss","instance_30_10_4_34","totalizer","none","slot-service","UNSATISFIABLE","0,052292","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_35","totalizer","none","slot-service","UNSATISFIABLE","0,047145","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_36","totalizer","none","slot-service","OPTIMUM","21,36968","21,31963","7285","78390","1497","401","406","5","0","120"
"6","TOT-none-ss","instance_30_10_4_37","totalizer","none","slot-service","OPTIMUM","13,79099","13,74702","6739","68080","1457","440","444","4","0","120"
"6","TOT-none-ss","instance_30_10_4_38","totalizer","none","slot-service","UNSATISFIABLE","0,052215","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_39","totalizer","none","slot-service","UNSATISFIABLE","0,049774","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_4","totalizer","none","slot-service","OPTIMUM","6,561971","6,526892","6351","61515","1419","427","430","3","0","120"
"6","TOT-none-ss","instance_30_10_4_40","totalizer","none","slot-service","UNSATISFIABLE","0,050575","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_41","totalizer","none","slot-service","OPTIMUM","7,584913","7,563614","4696","32554","1236","350","356","6","0","120"
"6","TOT-none-ss","instance_30_10_4_42","totalizer","none","slot-service","UNSATISFIABLE","0,053434","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_43","totalizer","none","slot-service","OPTIMUM","16,90691","16,861","6719","67467","1427","412","418","6","0","120"
"6","TOT-none-ss","instance_30_10_4_44","totalizer","none","slot-service","UNSATISFIABLE","0,069157","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_45","totalizer","none","slot-service","OPTIMUM","6,287104","6,253831","5910","53671","1363","365","371","6","0","120"
"6","TOT-none-ss","instance_30_10_4_46","totalizer","none","slot-service","UNSATISFIABLE","0,030478","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_47","totalizer","none","slot-service","OPTIMUM","5,436075","5,40701","5435","43001","1390","395","398","3","0","120"
"6","TOT-none-ss","instance_30_10_4_48","totalizer","none","slot-service","OPTIMUM","5,482611","5,457354","4782","34203","1309","375","377","2","0","120"
"6","TOT-none-ss","instance_30_10_4_49","totalizer","none","slot-service","UNSATISFIABLE","0,080995","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_5","totalizer","none","slot-service","OPTIMUM","11,95014","11,91807","5915","53322","1452","418","422","4","0","120"
"6","TOT-none-ss","instance_30_10_4_50","totalizer","none","slot-service","UNSATISFIABLE","0,052373","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_6","totalizer","none","slot-service","OPTIMUM","8,679181","8,642547","6119","65338","1451","388","389","1","0","120"
"6","TOT-none-ss","instance_30_10_4_7","totalizer","none","slot-service","UNSATISFIABLE","0,049892","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_4_8","totalizer","none","slot-service","OPTIMUM","26,41204","26,37726","6155","57976","1365","414","421","7","0","120"
"6","TOT-none-ss","instance_30_10_4_9","totalizer","none","slot-service","UNSATISFIABLE","0,050815","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_1","totalizer","none","slot-service","OPTIMUM","20,39415","20,34542","7152","65781","1608","496","500","4","0","120"
"6","TOT-none-ss","instance_30_10_5_10","totalizer","none","slot-service","OPTIMUM","18,2742","18,22257","7475","74758","1703","480","486","6","0","120"
"6","TOT-none-ss","instance_30_10_5_11","totalizer","none","slot-service","UNSATISFIABLE","0,055417","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_12","totalizer","none","slot-service","UNSATISFIABLE","0,081994","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_13","totalizer","none","slot-service","UNSATISFIABLE","0,122655","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_14","totalizer","none","slot-service","UNSATISFIABLE","0,149639","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_15","totalizer","none","slot-service","UNSATISFIABLE","0,134384","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_16","totalizer","none","slot-service","OPTIMUM","34,24882","34,18935","8284","102939","1637","489","499","10","0","120"
"6","TOT-none-ss","instance_30_10_5_17","totalizer","none","slot-service","OPTIMUM","34,1741","34,13315","6822","64022","1568","492","504","12","0","120"
"6","TOT-none-ss","instance_30_10_5_18","totalizer","none","slot-service","OPTIMUM","22,70312","22,64161","9023","103459","1770","519","523","4","0","120"
"6","TOT-none-ss","instance_30_10_5_19","totalizer","none","slot-service","UNSATISFIABLE","0,053005","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_2","totalizer","none","slot-service","UNSATISFIABLE","0,086562","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_20","totalizer","none","slot-service","UNSATISFIABLE","0,108819","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_21","totalizer","none","slot-service","UNSATISFIABLE","0,055829","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_22","totalizer","none","slot-service","OPTIMUM","20,10731","20,04926","8400","88892","1772","497","502","5","0","120"
"6","TOT-none-ss","instance_30_10_5_23","totalizer","none","slot-service","UNSATISFIABLE","0,052953","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_24","totalizer","none","slot-service","UNSATISFIABLE","0,076246","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_25","totalizer","none","slot-service","UNSATISFIABLE","0,087444","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_26","totalizer","none","slot-service","UNSATISFIABLE","0,052425","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_27","totalizer","none","slot-service","UNSATISFIABLE","0,084328","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_28","totalizer","none","slot-service","UNSATISFIABLE","0,052643","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_29","totalizer","none","slot-service","UNSATISFIABLE","0,051468","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_3","totalizer","none","slot-service","OPTIMUM","18,21733","18,15494","8565","101178","1670","479","487","8","0","120"
"6","TOT-none-ss","instance_30_10_5_30","totalizer","none","slot-service","UNSATISFIABLE","0,055363","0","0","0","0","","","","","120"
"6","TOT-none-ss","instance_30_10_5_31","totalizer","none","slot-service","OPTIMUM","18,4302","18,38934","6688","64475","1535","517","522","5","0","120"
"6","TOT-none-ss","instance_30_10_5_32","totalizer","none","slot-service","OPTIMUM","24,232","24,17474","8602","91349","1811","550","555","5","0","120"
"6","TOT-none-ss","instance_30_10_5_33","totalizer","none","slot-service","OPTIMUM","27,03494","26,94617","9779","133865","1881","553","554","1","0","120"
"6","TOT-none-ss","instance_30_10_5_34","totalizer","none","slot-service","OPTIMUM","27,97594","27,91854","8310","87351","1772","479","494","15","0","120"
"6","TOT-none-ss","instance_30_10_5_35","totalizer","none","slot-service","OPTIMUM","47,6817","47,63007","7789","75364","1737","499","506","5","2","120"
"6","TOT-none-ss","instance_30_10_5_36","totalizer","none","slot-service","OPTIMUM","32,69439","32,62817","9295","108515","1838","492","503","11","0","120"
"6","TOT-none-ss","instance_30_10_5_37","totalizer","none","slot-service","OPTIMUM","4,365193","4,333779","5732","44498","1495","494","495","1","0","120"
"6","TOT-none-ss","instance_30_10_5_38","totalizer","none","slot-service","OPTIMUM","33,2929","33,23844","7767","79438","1727","524","528","4","0","120"
"6","TOT-none-ss","instance_30_10_5_39","totalizer","none","slot-service","OPTIMUM","16,4817","16,42818","7785","79908","1757","522","524","2","0","120"
