"instance_name","ORIGINAL_status","ORIGINAL_best","ORIGINAL_elapsed_s","ORIGINAL_vars","SN-both-none_status","SN-both-none_best","SN-both-none_elapsed_s","SN-both-none_vars","SN-both-ss_status","SN-both-ss_best","SN-both-ss_elapsed_s","SN-both-ss_vars","SN-none-ss_status","SN-none-ss_best","SN-none-ss_elapsed_s","SN-none-ss_vars","TOT-both-none_status","TOT-both-none_best","TOT-both-none_elapsed_s","TOT-both-none_vars","TOT-both-ss_status","TOT-both-ss_best","TOT-both-ss_elapsed_s","TOT-both-ss_vars","TOT-none-none_status","TOT-none-none_best","TOT-none-none_elapsed_s","TOT-none-none_vars","TOT-none-ss_status","TOT-none-ss_best","TOT-none-ss_elapsed_s","TOT-none-ss_vars"
"instance_30_10_4_1","OPTIMUM","416","11,314","15458","OPTIMUM","416","17,74","22401","OPTIMUM","416","16,116","22407","OPTIMUM","416","10,337","15464","OPTIMUM","416","12,055","9576","OPTIMUM","416","12,648","9582","OPTIMUM","416","13,758","6161","OPTIMUM","416","12,934","6167"
"instance_30_10_4_10","OPTIMUM","403","10,959","17109","OPTIMUM","403","9,576","23901","OPTIMUM","403","9,318","23902","OPTIMUM","403","9,32","17515","OPTIMUM","403","9,789","9291","OPTIMUM","403","9,22","9292","OPTIMUM","403","10,404","5936","OPTIMUM","403","9,539","6342"
"instance_30_10_4_11","OPTIMUM","390","16,836","16332","OPTIMUM","390","17,761","22993","OPTIMUM","390","14,463","22993","OPTIMUM","390","14,282","16741","OPTIMUM","390","18,542","9038","OPTIMUM","390","14,297","9038","OPTIMUM","390","17,501","5726","OPTIMUM","390","17,525","6135"
"instance_30_10_4_12","OPTIMUM","387","18,556","16412","OPTIMUM","387","22,737","23897","OPTIMUM","387","25,306","23897","OPTIMUM","387","12,242","16833","OPTIMUM","387","14,743","9578","OPTIMUM","387","22,622","9578","OPTIMUM","387","15,661","6048","OPTIMUM","387","19,53","6469"
"instance_30_10_4_13","UNSATISFIABLE","","0,045","0","UNSATISFIABLE","","0,055","0","UNSATISFIABLE","","0,056","0","UNSATISFIABLE","","0,046","0","UNSATISFIABLE","","0,051","0","UNSATISFIABLE","","0,051","0","UNSATISFIABLE","","0,045","0","UNSATISFIABLE","","0,047","0"
"instance_30_10_4_14","UNSATISFIABLE","","0,048","0","UNSATISFIABLE","","0,055","0","UNSATISFIABLE","","0,057","0","UNSATISFIABLE","","0,049","0","UNSATISFIABLE","","0,051","0","UNSATISFIABLE","","0,052","0","UNSATISFIABLE","","0,046","0","UNSATISFIABLE","","0,048","0"
"instance_30_10_4_15","UNSATISFIABLE","","0,026","0","UNSATISFIABLE","","0,047","0","UNSATISFIABLE","","0,047","0","UNSATISFIABLE","","0,029","0","UNSATISFIABLE","","0,045","0","UNSATISFIABLE","","0,047","0","UNSATISFIABLE","","0,026","0","UNSATISFIABLE","","0,028","0"
"instance_30_10_4_16","OPTIMUM","431","8,812","17677","OPTIMUM","431","13,501","24538","OPTIMUM","431","14,072","24544","OPTIMUM","431","11,499","18093","OPTIMUM","431","13,247","9903","OPTIMUM","431","13,821","9909","OPTIMUM","431","11,893","6555","OPTIMUM","431","11,96","6971"
"instance_30_10_4_17","OPTIMUM","400","4,447","10648","OPTIMUM","400","5,797","17923","OPTIMUM","400","3,624","17932","OPTIMUM","400","2,707","11086","OPTIMUM","400","4,372","8318","OPTIMUM","400","2,672","8327","OPTIMUM","400","4,477","4770","OPTIMUM","400","3,343","5208"
"instance_30_10_4_18","OPTIMUM","408","5,585","11434","OPTIMUM","408","3,785","18227","OPTIMUM","408","3,794","18227","OPTIMUM","408","5,586","11434","OPTIMUM","408","6,301","8848","OPTIMUM","408","6,293","8848","OPTIMUM","408","6,745","5430","OPTIMUM","408","6,756","5430"
