"","cfg_id","label","cardinality","ic","sb","total_runs","optimum_n","timeout_n","unsat_n","error_n","optimum_pct","mean_elapsed_s","median_elapsed_s","par2_s","mean_solve_s","mean_variables","mean_hard_clauses","mean_soft_clauses","mean_best_value","mean_similarity","mean_continuity","mean_overtime","std_best_value"
"30_10_4","1","ORIGINAL","sorting-network","none","none","50","26","0","24","0","52","12,4779","11,1366","3462,489","12,4452","14853,96","53611,85","1407,923","401,7308","406,8846","5,1538","0","23,7698"
"","2","SN-none-ss","sorting-network","none","slot-service","50","26","0","24","0","52","12,4308","10,827","3462,464","12,3962","15210,5","55024,38","1407,923","401,7308","406,8077","5,0769","0","23,7698"
"","3","SN-both-none","sorting-network","both","none","50","26","0","24","0","52","13,5461","12,0048","3463,044","13,499","21941,27","75054,62","1407,923","401,7308","406,8462","5,1154","0","23,7698"
"","4","SN-both-ss","sorting-network","both","slot-service","50","26","0","24","0","52","13,1784","12,4521","3462,853","13,1306","21947,46","75083,23","1407,923","401,7308","406,8846","5,1538","0","23,7698"
"","5","TOT-none-none","totalizer","none","none","50","26","0","24","0","52","11,7203","10,3437","3462,095","11,6868","5783,654","56432,15","1407,923","401,7308","406,6538","4,9231","0","23,7698"
"","6","TOT-none-ss","totalizer","none","slot-service","50","26","0","24","0","52","11,8915","11,955","3462,184","11,8556","6140,192","57844,69","1407,923","401,7308","406,6923","4,9615","0","23,7698"
"","7","TOT-both-none","totalizer","both","none","50","26","0","24","0","52","12,6052","10,881","3462,555","12,5606","9214,731","72798,54","1407,923","401,7308","406,7692","5,0385","0","23,7698"
"","8","TOT-both-ss","totalizer","both","slot-service","50","26","0","24","0","52","12,1116","11,7571","3462,298","12,0659","9220,923","72827,15","1407,923","401,7308","406,9615","5,2308","0","23,7698"
"","","","","","","","","","","","","","","","","","","","","","","",""
"30_10_5","1","ORIGINAL","sorting-network","none","none","100","46","1","53","0","46","19,0992","16,6488","3896,786","19,0613","17182,65","62188,15","1529,435","445,8913","451,587","5,6957","0","56,0437"
"","2","SN-none-ss","sorting-network","none","slot-service","100","46","1","53","0","46","19,145","14,5585","3896,807","19,1041","17576,85","63737,83","1529,435","445,8913","451,6087","5,6522","0,0652","56,0437"
"","3","SN-both-none","sorting-network","both","none","100","46","1","53","0","46","21,0912","17,9357","3897,702","21,0366","25515,3","87391,07","1529,435","445,8913","451,6957","5,7609","0,0435","56,0437"
"","4","SN-both-ss","sorting-network","both","slot-service","100","46","1","53","0","46","20,4134","16,9739","3897,39","20,3581","25521,52","87419,54","1529,435","445,8913","451,6522","5,6957","0,0652","56,0437"
"","5","TOT-none-none","totalizer","none","none","100","46","1","53","0","46","17,9724","15,9538","3896,267","17,9317","6479,478","67308,07","1529,435","445,8913","451,6522","5,7174","0,0435","56,0437"
"","6","TOT-none-ss","totalizer","none","slot-service","100","46","1","53","0","46","18,2999","16,5664","3896,418","18,2562","6873,674","68857,74","1529,435","445,8913","451,4783","5,5435","0,0435","56,0437"
"","7","TOT-both-none","totalizer","both","none","100","46","1","53","0","46","18,7656","17,0848","3896,632","18,7125","10391,98","86602,46","1529,435","445,8913","451,5435","5,6087","0,0435","56,0437"
"","8","TOT-both-ss","totalizer","both","slot-service","100","46","1","53","0","46","18,7963","14,82","3896,646","18,7425","10398,2","86630,93","1529,435","445,8913","451,8043","5,913","0","56,0437"
"","","","","","","","","","","","","","","","","","","","","","","",""
"30_15_4","1","ORIGINAL","sorting-network","none","none","150","91","1","58","0","60,7","17,7822","15,7504","2842,788","17,7382","18586,15","69778,57","1770","435,2967","440,4725","5,1758","0","43,3145"
"","2","SN-none-ss","sorting-network","none","slot-service","150","91","1","58","0","60,7","18,1552","15,2862","2843,014","18,1083","18963,2","71457,18","1770","435,2967","440,3956","5,0659","0,033","43,3145"
