cfg_id;label;backend;formulation;instance_name;status;elapsed_s;build_s;solve_s;verify_s;variables;constraints;explored;similarity;continuity;overtime;coverage;weighted_score
1;GUROBI-MIP;gurobi-mip;mip-e;instance_30_15_4_1;OPTIMUM;0.2633;0.0063;0.0425;0.0001;3371;3079;1;450;7;0;120;443
1;GUROBI-MIP;gurobi-mip;mip-e;instance_30_15_4_10;OPTIMUM;0.0438;0.0053;0.0353;0.0001;2858;2791;1;426;8;0;120;418
1;GUROBI-MIP;gurobi-mip;mip-e;instance_30_15_4_11;PARSE_ERROR;;;;;;;;;;;;
1;GUROBI-MIP;gurobi-mip;mip-e;instance_30_15_4_12;PARSE_ERROR;;;;;;;;;;;;
1;GUROBI-MIP;gurobi-mip;mip-e;instance_30_15_4_13;OPTIMUM;0.0659;0.0045;0.0577;0.0001;2204;2192;1;388;5;0;120;383
1;GUROBI-MIP;gurobi-mip;mip-e;instance_30_15_4_14;OPTIMUM;0.0506;0.0057;0.0411;0.0001;3089;2948;1;423;11;0;120;412
1;GUROBI-MIP;gurobi-mip;mip-e;instance_30_15_4_15;OPTIMUM;0.0552;0.0061;0.0457;0.0001;3341;3041;1;451;3;0;120;448
1;GUROBI-MIP;gurobi-mip;mip-e;instance_30_15_4_16;OPTIMUM;0.0353;0.0045;0.0275;0.0001;2300;2344;1;402;3;0;120;399
1;GUROBI-MIP;gurobi-mip;mip-e;instance_30_15_4_17;OPTIMUM;0.0429;0.0052;0.0345;0.0001;2875;2724;1;427;5;0;120;422
1;GUROBI-MIP;gurobi-mip;mip-e;instance_30_15_4_18;OPTIMUM;0.0658;0.0071;0.0553;0.0001;3959;3386;1;463;5;0;120;458
1;GUROBI-MIP;gurobi-mip;mip-e;instance_30_15_4_19;PARSE_ERROR;;;;;;;;;;;;
1;GUROBI-MIP;gurobi-mip;mip-e;instance_30_15_4_2;OPTIMUM;0.0487;0.0044;0.0412;0.0001;2165;2208;1;378;4;0;120;374
1;GUROBI-MIP;gurobi-mip;mip-e;instance_30_15_4_20;OPTIMUM;0.0376;0.0047;0.0297;0.0001;2444;2469;1;434;6;0;120;428
1;GUROBI-MIP;gurobi-mip;mip-e;instance_30_15_4_21;INFEASIBLE;0.0084;0.0038;0.0019;0.0000;1837;1922;0;;;;;
1;GUROBI-MIP;gurobi-mip;mip-e;instance_30_15_4_22;PARSE_ERROR;;;;;;;;;;;;
1;GUROBI-MIP;gurobi-mip;mip-e;instance_30_15_4_23;PARSE_ERROR;;;;;;;;;;;;
