cfg_id;label;backend;formulation;method;delta;instance_name;status;elapsed_s;build_s;solve_s;verify_s;variables;constraints;explored;similarity;continuity;overtime;coverage;weighted_score
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_1;OPTIMUM;0.3635;0.0195;0.0699;0.0001;3371;3079;1;450;7;0;120;443
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_10;OPTIMUM;0.0403;0.0049;0.0332;0.0001;2858;2791;1;426;8;0;120;418
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_11;OPTIMUM;0.0443;0.0043;0.0382;0.0001;2559;2447;1;415;4;1;120;410
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_12;OPTIMUM;0.0423;0.0053;0.0350;0.0001;2802;2664;1;444;4;0;120;440
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_13;OPTIMUM;0.0643;0.0041;0.0584;0.0001;2204;2192;1;388;5;0;120;383
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_14;OPTIMUM;0.0440;0.0052;0.0366;0.0001;3089;2948;1;423;11;0;120;412
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_15;OPTIMUM;0.0500;0.0060;0.0419;0.0001;3341;3041;1;451;3;0;120;448
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_16;OPTIMUM;0.0332;0.0045;0.0267;0.0001;2300;2344;1;402;3;0;120;399
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_17;OPTIMUM;0.0407;0.0052;0.0335;0.0001;2875;2724;1;427;5;0;120;422
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_18;OPTIMUM;0.0611;0.0070;0.0518;0.0001;3959;3386;1;463;5;0;120;458
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_19;OPTIMUM;0.0356;0.0049;0.0288;0.0001;2623;2494;1;425;9;0;120;416
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_2;OPTIMUM;0.0428;0.0041;0.0368;0.0001;2165;2208;1;378;4;0;120;374
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_20;OPTIMUM;0.0356;0.0047;0.0291;0.0001;2444;2469;1;434;6;0;120;428
1;GUROBI-MIP;gurobi-mip;mip-e;weighted;-;instance_30_15_4_21;INFEASIBLE;0.0073;0.0037;0.0018;0.0000;1837;1922;0;;;;;
