instance_name;epsilon__delta_0__ORIGINAL_status;epsilon__delta_0__ORIGINAL_weighted_reference;epsilon__delta_0__ORIGINAL_stages;epsilon__delta_0__ORIGINAL_elapsed_s;epsilon__delta_0__ORIGINAL_vars;epsilon__delta_0__SN-both-none_status;epsilon__delta_0__SN-both-none_weighted_reference;epsilon__delta_0__SN-both-none_stages;epsilon__delta_0__SN-both-none_elapsed_s;epsilon__delta_0__SN-both-none_vars;epsilon__delta_0__SN-both-ss_status;epsilon__delta_0__SN-both-ss_weighted_reference;epsilon__delta_0__SN-both-ss_stages;epsilon__delta_0__SN-both-ss_elapsed_s;epsilon__delta_0__SN-both-ss_vars;epsilon__delta_0__SN-none-ss_status;epsilon__delta_0__SN-none-ss_weighted_reference;epsilon__delta_0__SN-none-ss_stages;epsilon__delta_0__SN-none-ss_elapsed_s;epsilon__delta_0__SN-none-ss_vars;epsilon__delta_0__TOT-both-none_status;epsilon__delta_0__TOT-both-none_weighted_reference;epsilon__delta_0__TOT-both-none_stages;epsilon__delta_0__TOT-both-none_elapsed_s;epsilon__delta_0__TOT-both-none_vars;epsilon__delta_0__TOT-both-ss_status;epsilon__delta_0__TOT-both-ss_weighted_reference;epsilon__delta_0__TOT-both-ss_stages;epsilon__delta_0__TOT-both-ss_elapsed_s;epsilon__delta_0__TOT-both-ss_vars;epsilon__delta_0__TOT-none-none_status;epsilon__delta_0__TOT-none-none_weighted_reference;epsilon__delta_0__TOT-none-none_stages;epsilon__delta_0__TOT-none-none_elapsed_s;epsilon__delta_0__TOT-none-none_vars;epsilon__delta_0__TOT-none-ss_status;epsilon__delta_0__TOT-none-ss_weighted_reference;epsilon__delta_0__TOT-none-ss_stages;epsilon__delta_0__TOT-none-ss_elapsed_s;epsilon__delta_0__TOT-none-ss_vars
instance_30_10_4_1;TIMEOUT;None;421;300.124;15458;TIMEOUT;None;421;300.124;22401;TIMEOUT;None;421;300.127;22407;TIMEOUT;None;421;300.127;15464;TIMEOUT;None;421;300.124;9576;TIMEOUT;None;421;300.125;9582;TIMEOUT;None;421;300.119;6161;TIMEOUT;None;421;300.122;6167
instance_30_10_4_10;TIMEOUT;None;414;300.121;17109;TIMEOUT;None;414;300.128;23901;TIMEOUT;None;414;300.125;23902;TIMEOUT;None;414;300.125;17515;TIMEOUT;None;414;300.124;9291;TIMEOUT;None;414;300.127;9292;TIMEOUT;None;414;300.124;5936;TIMEOUT;None;414;300.121;6342
instance_30_10_4_11;TIMEOUT;None;402;300.122;16332;TIMEOUT;None;402;300.128;22993;TIMEOUT;None;402;300.123;22993;TIMEOUT;None;402;300.118;16741;TIMEOUT;None;402;300.13;9038;TIMEOUT;None;402;300.123;9038;TIMEOUT;None;402;300.117;5726;TIMEOUT;None;402;300.124;6135
instance_30_10_4_12;TIMEOUT;None;397;300.122;16412;TIMEOUT;None;397;300.121;23897;TIMEOUT;None;397;300.129;23897;TIMEOUT;None;397;300.126;16833;TIMEOUT;None;397;300.125;9578;TIMEOUT;None;397;300.128;9578;TIMEOUT;None;397;300.123;6048;TIMEOUT;None;397;300.12;6469
instance_30_10_4_13;UNSATISFIABLE;None;;0.031;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.031;0;UNSATISFIABLE;None;;0.034;0
instance_30_10_4_14;UNSATISFIABLE;None;;0.032;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.031;0;UNSATISFIABLE;None;;0.032;0
instance_30_10_4_15;UNSATISFIABLE;None;;0.024;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.025;0;UNSATISFIABLE;None;;0.033;0;UNSATISFIABLE;None;;0.032;0;UNSATISFIABLE;None;;0.023;0;UNSATISFIABLE;None;;0.024;0
instance_30_10_4_16;TIMEOUT;None;436;300.13;17677;TIMEOUT;None;436;300.124;24538;TIMEOUT;None;436;300.134;24544;TIMEOUT;None;436;300.125;18093;TIMEOUT;None;436;300.127;9903;TIMEOUT;None;436;300.128;9909;TIMEOUT;None;436;300.127;6555;TIMEOUT;None;436;300.126;6971
instance_30_10_4_17;TIMEOUT;None;402;300.119;10648;TIMEOUT;None;402;300.122;17923;TIMEOUT;None;402;300.12;17932;TIMEOUT;None;402;300.119;11086;TIMEOUT;None;402;300.123;8318;TIMEOUT;None;402;300.115;8327;TIMEOUT;None;402;300.121;4770;TIMEOUT;None;402;300.123;5208
instance_30_10_4_18;TIMEOUT;None;414;300.126;11434;TIMEOUT;None;414;300.12;18227;TIMEOUT;None;414;300.122;18227;TIMEOUT;None;414;300.122;11434;TIMEOUT;None;414;300.125;8848;TIMEOUT;None;414;300.12;8848;TIMEOUT;None;414;300.128;5430;TIMEOUT;None;414;300.123;5430
instance_30_10_4_19;UNSATISFIABLE;None;;0.041;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.045;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.042;0;UNSATISFIABLE;None;;0.043;0
instance_30_10_4_2;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.073;0;UNSATISFIABLE;None;;0.072;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.045;0;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.041;0;UNSATISFIABLE;None;;0.043;0
instance_30_10_4_20;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.036;0
instance_30_10_4_21;UNSATISFIABLE;None;;0.041;0;UNSATISFIABLE;None;;0.075;0;UNSATISFIABLE;None;;0.087;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.061;0;UNSATISFIABLE;None;;0.06;0;UNSATISFIABLE;None;;0.042;0;UNSATISFIABLE;None;;0.044;0
instance_30_10_4_22;UNSATISFIABLE;None;;0.046;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.07;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.04;0
instance_30_10_4_23;TIMEOUT;None;382;300.125;17744;TIMEOUT;None;382;300.127;25135;TIMEOUT;None;382;300.125;25136;TIMEOUT;None;382;300.121;18163;TIMEOUT;None;382;300.122;9751;TIMEOUT;None;382;300.132;9752;TIMEOUT;None;382;300.129;6257;TIMEOUT;None;382;300.124;6676
instance_30_10_4_24;TIMEOUT;None;396;300.117;13402;TIMEOUT;None;396;300.118;20930;TIMEOUT;None;396;300.12;20933;TIMEOUT;None;396;300.119;13822;TIMEOUT;None;396;300.126;8812;TIMEOUT;None;396;300.121;8815;TIMEOUT;None;396;300.119;5370;TIMEOUT;None;396;300.118;5790
