cfg_id;label;instance_name;method;objective_mode;objective_policy;delta;similarity_reference_optimum;similarity_lower_bound;similarity_realized_loss_absolute;similarity_realized_loss_fraction;similarity_realized_loss_ratio;cardinality;ic;sb;status;elapsed_s;timeout_seconds;solve_s;solver_calls;variables;hard_clauses;soft_clauses;best_value;weighted_reference_score;similarity;continuity;overtime;coverage;stage_objectives;stage_optima
1;ORIGINAL;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0;;;;;;sorting-network;none;none;TIMEOUT;300.1285261;300.0;8.691269973;1;15458;60139;532;;;;;;;similarity_reference;421
1;ORIGINAL;instance_30_10_4_10;epsilon;epsilon-constraint;similarity-budget;0;;;;;;sorting-network;none;none;TIMEOUT;300.1262229;300.0;7.553027292;1;17109;59733;533;;;;;;;similarity_reference;414
1;TOT-none-none;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0;421;421;;;;totalizer;none;none;TIMEOUT;300.1193904;300.0;7.420033314;2;6161;62317;532;;;;;;;similarity_reference;421
1;TOT-none-none;instance_30_10_4_10;epsilon;epsilon-constraint;similarity-budget;0;414;414;;;;totalizer;none;none;TIMEOUT;300.1241723;300.0;7.297525607;2;5936;57797;533;;;;;;;similarity_reference;414
1;TOT-none-none;instance_30_10_4_11;epsilon;epsilon-constraint;similarity-budget;0;402;402;;;;totalizer;none;none;TIMEOUT;300.1168581;300.0;9.863117503;2;5726;54938;520;;;;;;;similarity_reference;402
1;TOT-none-none;instance_30_10_4_12;epsilon;epsilon-constraint;similarity-budget;0;397;397;;;;totalizer;none;none;TIMEOUT;300.1233684;300.0;5.385300903;2;6048;62607;535;;;;;;;similarity_reference;397
1;TOT-none-none;instance_30_10_4_13;epsilon;epsilon-constraint;similarity-budget;0;;;;;;totalizer;none;none;UNSATISFIABLE;0.030797973;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_14;epsilon;epsilon-constraint;similarity-budget;0;;;;;;totalizer;none;none;UNSATISFIABLE;0.030589847;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_15;epsilon;epsilon-constraint;similarity-budget;0;;;;;;totalizer;none;none;UNSATISFIABLE;0.022899292;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_16;epsilon;epsilon-constraint;similarity-budget;0;436;436;;;;totalizer;none;none;TIMEOUT;300.127269;300.0;6.362924183;2;6555;68091;565;;;;;;;similarity_reference;436
