cfg_id;label;instance_name;method;objective_mode;objective_policy;delta;similarity_reference_optimum;similarity_lower_bound;similarity_realized_loss_absolute;similarity_realized_loss_fraction;similarity_realized_loss_ratio;cardinality;ic;sb;status;elapsed_s;timeout_seconds;solve_s;solver_calls;variables;hard_clauses;soft_clauses;best_value;weighted_reference_score;similarity;continuity;overtime;coverage;stage_objectives;stage_optima
1;TOT-none-none;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.05;421;400;;;;totalizer;none;none;TIMEOUT;300.1254514;300.0;9.380827703;2;6161;62317;532;;;;;;;similarity_reference;421
1;TOT-none-none;instance_30_10_4_10;epsilon;epsilon-constraint;similarity-budget;0.05;414;394;;;;totalizer;none;none;TIMEOUT;300.1305365;300.0;7.298515361;2;5936;57797;533;;;;;;;similarity_reference;414
1;TOT-none-none;instance_30_10_4_11;epsilon;epsilon-constraint;similarity-budget;0.05;402;382;;;;totalizer;none;none;TIMEOUT;300.1230043;300.0;10.15905557;2;5726;54938;520;;;;;;;similarity_reference;402
1;TOT-none-none;instance_30_10_4_12;epsilon;epsilon-constraint;similarity-budget;0.05;397;378;;;;totalizer;none;none;TIMEOUT;300.128202;300.0;5.497306091;2;6048;62607;535;;;;;;;similarity_reference;397
1;TOT-none-none;instance_30_10_4_13;epsilon;epsilon-constraint;similarity-budget;0.05;;;;;;totalizer;none;none;UNSATISFIABLE;0.035379265;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_14;epsilon;epsilon-constraint;similarity-budget;0.05;;;;;;totalizer;none;none;UNSATISFIABLE;0.036710471;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_15;epsilon;epsilon-constraint;similarity-budget;0.05;;;;;;totalizer;none;none;UNSATISFIABLE;0.025748572;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_16;epsilon;epsilon-constraint;similarity-budget;0.05;436;415;;;;totalizer;none;none;TIMEOUT;300.1331413;300.0;6.414446788;2;6555;68091;565;;;;;;;similarity_reference;436
1;TOT-none-none;instance_30_10_4_17;epsilon;epsilon-constraint;similarity-budget;0.05;402;382;;;;totalizer;none;none;TIMEOUT;300.1183699;300.0;5.196380773;2;4770;39967;399;;;;;;;similarity_reference;402
1;TOT-none-none;instance_30_10_4_18;epsilon;epsilon-constraint;similarity-budget;0.05;414;394;;;;totalizer;none;none;TIMEOUT;300.1180886;300.0;7.076522847;2;5430;48777;484;;;;;;;similarity_reference;414
1;TOT-none-none;instance_30_10_4_19;epsilon;epsilon-constraint;similarity-budget;0.05;;;;;;totalizer;none;none;UNSATISFIABLE;0.055749889;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_2;epsilon;epsilon-constraint;similarity-budget;0.05;;;;;;totalizer;none;none;UNSATISFIABLE;0.043632034;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_20;epsilon;epsilon-constraint;similarity-budget;0.05;;;;;;totalizer;none;none;UNSATISFIABLE;0.039798121;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_21;epsilon;epsilon-constraint;similarity-budget;0.05;;;;;;totalizer;none;none;UNSATISFIABLE;0.047269757;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_22;epsilon;epsilon-constraint;similarity-budget;0.05;;;;;;totalizer;none;none;UNSATISFIABLE;0.052734114;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_23;epsilon;epsilon-constraint;similarity-budget;0.05;382;363;;;;totalizer;none;none;TIMEOUT;300.1242166;300.0;10.17205627;2;6257;63444;563;;;;;;;similarity_reference;382
1;TOT-none-none;instance_30_10_4_24;epsilon;epsilon-constraint;similarity-budget;0.05;396;377;;;;totalizer;none;none;TIMEOUT;300.1231881;300.0;18.11625888;2;5370;48224;463;;;;;;;similarity_reference;396
1;TOT-none-none;instance_30_10_4_25;epsilon;epsilon-constraint;similarity-budget;0.05;446;424;;;;totalizer;none;none;TIMEOUT;300.1317596;300.0;2.497756558;2;6809;73557;614;;;;;;;similarity_reference;446
1;TOT-none-none;instance_30_10_4_26;epsilon;epsilon-constraint;similarity-budget;0.05;;;;;;totalizer;none;none;UNSATISFIABLE;0.059339967;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_27;epsilon;epsilon-constraint;similarity-budget;0.05;405;385;;;;totalizer;none;none;TIMEOUT;300.1275946;300.0;9.697430866;2;5189;43780;480;;;;;;;similarity_reference;405
1;TOT-none-none;instance_30_10_4_28;epsilon;epsilon-constraint;similarity-budget;0.05;;;;;;totalizer;none;none;UNSATISFIABLE;0.027861072;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_29;epsilon;epsilon-constraint;similarity-budget;0.05;;;;;;totalizer;none;none;UNSATISFIABLE;0.048747228;300.0;0;1;0;0;0;;;;;;;;
1;TOT-none-none;instance_30_10_4_3;epsilon;epsilon-constraint;similarity-budget;0.05;;;;;;totalizer;none;none;UNSATISFIABLE;0.039347385;300.0;0;1;0;0;0;;;;;;;;
