instance_name;epsilon__delta_0.10__ORIGINAL_status;epsilon__delta_0.10__ORIGINAL_weighted_reference;epsilon__delta_0.10__ORIGINAL_stages;epsilon__delta_0.10__ORIGINAL_elapsed_s;epsilon__delta_0.10__ORIGINAL_vars;epsilon__delta_0.10__SN-both-none_status;epsilon__delta_0.10__SN-both-none_weighted_reference;epsilon__delta_0.10__SN-both-none_stages;epsilon__delta_0.10__SN-both-none_elapsed_s;epsilon__delta_0.10__SN-both-none_vars;epsilon__delta_0.10__SN-both-ss_status;epsilon__delta_0.10__SN-both-ss_weighted_reference;epsilon__delta_0.10__SN-both-ss_stages;epsilon__delta_0.10__SN-both-ss_elapsed_s;epsilon__delta_0.10__SN-both-ss_vars;epsilon__delta_0.10__SN-none-ss_status;epsilon__delta_0.10__SN-none-ss_weighted_reference;epsilon__delta_0.10__SN-none-ss_stages;epsilon__delta_0.10__SN-none-ss_elapsed_s;epsilon__delta_0.10__SN-none-ss_vars;epsilon__delta_0.10__TOT-both-none_status;epsilon__delta_0.10__TOT-both-none_weighted_reference;epsilon__delta_0.10__TOT-both-none_stages;epsilon__delta_0.10__TOT-both-none_elapsed_s;epsilon__delta_0.10__TOT-both-none_vars;epsilon__delta_0.10__TOT-both-ss_status;epsilon__delta_0.10__TOT-both-ss_weighted_reference;epsilon__delta_0.10__TOT-both-ss_stages;epsilon__delta_0.10__TOT-both-ss_elapsed_s;epsilon__delta_0.10__TOT-both-ss_vars;epsilon__delta_0.10__TOT-none-none_status;epsilon__delta_0.10__TOT-none-none_weighted_reference;epsilon__delta_0.10__TOT-none-none_stages;epsilon__delta_0.10__TOT-none-none_elapsed_s;epsilon__delta_0.10__TOT-none-none_vars;epsilon__delta_0.10__TOT-none-ss_status;epsilon__delta_0.10__TOT-none-ss_weighted_reference;epsilon__delta_0.10__TOT-none-ss_stages;epsilon__delta_0.10__TOT-none-ss_elapsed_s;epsilon__delta_0.10__TOT-none-ss_vars
instance_30_10_4_1;TIMEOUT;None;421;300.13;15458;TIMEOUT;None;421;300.125;22401;TIMEOUT;None;421;300.122;22407;TIMEOUT;None;421;300.121;15464;TIMEOUT;None;421;300.124;9576;TIMEOUT;None;421;300.129;9582;TIMEOUT;None;421;300.126;6161;TIMEOUT;None;421;300.122;6167
instance_30_10_4_10;TIMEOUT;None;414;300.129;17109;TIMEOUT;None;414;300.128;23901;TIMEOUT;None;414;300.13;23902;TIMEOUT;None;414;300.131;17515;TIMEOUT;None;414;300.125;9291;TIMEOUT;None;414;300.131;9292;TIMEOUT;None;414;300.12;5936;TIMEOUT;None;414;300.127;6342
instance_30_10_4_11;TIMEOUT;None;402;300.124;16332;TIMEOUT;None;402;300.128;22993;TIMEOUT;None;402;300.128;22993;TIMEOUT;None;402;300.119;16741;TIMEOUT;None;402;300.121;9038;TIMEOUT;None;402;300.125;9038;TIMEOUT;None;402;300.124;5726;TIMEOUT;None;402;300.12;6135
instance_30_10_4_12;TIMEOUT;None;397;300.123;16412;TIMEOUT;None;397;300.13;23897;TIMEOUT;None;397;300.128;23897;TIMEOUT;None;397;300.124;16833;TIMEOUT;None;397;300.131;9578;TIMEOUT;None;397;300.131;9578;TIMEOUT;None;397;300.124;6048;TIMEOUT;None;397;300.126;6469
instance_30_10_4_13;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.043;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.036;0
instance_30_10_4_14;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.034;0
instance_30_10_4_15;UNSATISFIABLE;None;;0.026;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.028;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.026;0;UNSATISFIABLE;None;;0.027;0
instance_30_10_4_16;TIMEOUT;None;436;300.124;17677;TIMEOUT;None;436;300.128;24538;TIMEOUT;None;436;300.128;24544;TIMEOUT;None;436;300.125;18093;TIMEOUT;None;436;300.125;9903;TIMEOUT;None;436;300.133;9909;TIMEOUT;None;436;300.125;6555;TIMEOUT;None;436;300.13;6971
instance_30_10_4_17;TIMEOUT;None;402 | 0 | 0;300.127;135329;TIMEOUT;None;402;300.124;17923;TIMEOUT;None;402 | 0;300.126;82553;TIMEOUT;None;402;300.122;11086;TIMEOUT;None;402;300.116;8318;TIMEOUT;None;402 | 0 | 0;300.127;133008;TIMEOUT;None;402 | 0 | 0;300.128;129451;TIMEOUT;None;402 | 0 | 0;300.134;129889
instance_30_10_4_18;TIMEOUT;None;414 | 0 | 0;300.134;159931;TIMEOUT;None;414 | 0 | 0;300.127;166724;TIMEOUT;None;414 | 0 | 0;300.129;166724;TIMEOUT;None;414 | 0;300.131;98311;TIMEOUT;None;414;300.12;8848;TIMEOUT;None;414 | 0;300.129;95725;TIMEOUT;None;414 | 0;300.135;92307;TIMEOUT;None;414 | 0;300.13;92307
instance_30_10_4_19;UNSATISFIABLE;None;;0.045;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.061;0;UNSATISFIABLE;None;;0.063;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.046;0
instance_30_10_4_2;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.059;0;UNSATISFIABLE;None;;0.074;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.06;0;UNSATISFIABLE;None;;0.062;0;UNSATISFIABLE;None;;0.042;0;UNSATISFIABLE;None;;0.046;0
instance_30_10_4_20;UNSATISFIABLE;None;;0.046;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.044;0;UNSATISFIABLE;None;;0.039;0;UNSATISFIABLE;None;;0.04;0
instance_30_10_4_21;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.077;0;UNSATISFIABLE;None;;0.059;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.044;0;UNSATISFIABLE;None;;0.046;0
instance_30_10_4_22;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.043;0
instance_30_10_4_23;TIMEOUT;None;382 | 0 | 0;300.133;184822;TIMEOUT;None;382 | 0 | 0;300.131;192213;TIMEOUT;None;382 | 0;300.138;125794;TIMEOUT;None;382 | 0 | 0;300.132;185241;TIMEOUT;None;382 | 0 | 0;300.142;176829;TIMEOUT;None;382 | 0;300.138;110410;TIMEOUT;None;382 | 0 | 0;300.138;173335;OPTIMUM;378.0;382 | 0 | 0 | 378;245.944;173754
instance_30_10_4_24;TIMEOUT;None;396;300.121;13402;TIMEOUT;None;396 | 1;300.131;100565;TIMEOUT;None;396 | 1 | 0;300.135;161319;TIMEOUT;None;396;300.125;13822;TIMEOUT;None;396 | 1 | 0;300.135;149198;TIMEOUT;None;396;300.122;8815;TIMEOUT;None;396;300.121;5370;TIMEOUT;None;396;300.12;5790
instance_30_10_4_25;TIMEOUT;None;446;300.125;17704;TIMEOUT;None;446;300.134;25018;TIMEOUT;None;446;300.131;25021;TIMEOUT;None;446;300.132;18132;TIMEOUT;None;446;300.138;10405;TIMEOUT;None;446;300.127;10408;TIMEOUT;None;446;300.137;6809;TIMEOUT;None;446;300.132;7237
instance_30_10_4_26;UNSATISFIABLE;None;;0.06;0;UNSATISFIABLE;None;;0.086;0;UNSATISFIABLE;None;;0.085;0;UNSATISFIABLE;None;;0.061;0;UNSATISFIABLE;None;;0.072;0;UNSATISFIABLE;None;;0.076;0;UNSATISFIABLE;None;;0.046;0;UNSATISFIABLE;None;;0.06;0
instance_30_10_4_27;TIMEOUT;None;405;300.117;13839;TIMEOUT;None;405;300.123;20862;TIMEOUT;None;405;300.121;20867;TIMEOUT;None;405;300.12;14266;TIMEOUT;None;405;300.12;8639;TIMEOUT;None;405;300.123;8644;TIMEOUT;None;405;300.121;5189;TIMEOUT;None;405;300.12;5616
instance_30_10_4_28;UNSATISFIABLE;None;;0.028;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.029;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.027;0;UNSATISFIABLE;None;;0.029;0
instance_30_10_4_29;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.041;0
instance_30_10_4_3;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.063;0;UNSATISFIABLE;None;;0.062;0;UNSATISFIABLE;None;;0.041;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.04;0
instance_30_10_4_30;TIMEOUT;None;407;300.124;18708;TIMEOUT;None;407;300.132;25475;TIMEOUT;None;407;300.128;25475;TIMEOUT;None;407;300.123;19120;TIMEOUT;None;407;300.127;9751;TIMEOUT;None;407;300.125;9751;TIMEOUT;None;407;300.133;6420;TIMEOUT;None;407;300.127;6832
instance_30_10_4_31;TIMEOUT;None;381 | 6 | 0;300.13;159583;TIMEOUT;None;381 | 6 | 0;300.131;167440;TIMEOUT;None;381 | 6 | 0;300.131;167452;TIMEOUT;None;381 | 6 | 0;300.126;160033;OPTIMUM;369.0;381 | 6 | 0 | 375;286.621;154323;TIMEOUT;None;381 | 6 | 0;300.128;154335;TIMEOUT;None;381 | 6 | 0;300.128;150650;OPTIMUM;369.0;381 | 6 | 0 | 375;242.527;151100
instance_30_10_4_32;TIMEOUT;None;424;300.124;15717;TIMEOUT;None;424;300.128;22795;TIMEOUT;None;424;300.125;22811;TIMEOUT;None;424;300.124;15733;TIMEOUT;None;424;300.123;9509;TIMEOUT;None;424;300.128;9525;TIMEOUT;None;424;300.122;6090;TIMEOUT;None;424;300.125;6106
instance_30_10_4_33;TIMEOUT;None;436;300.13;14662;TIMEOUT;None;436;300.124;22909;TIMEOUT;None;436;300.122;22909;TIMEOUT;None;436;300.122;15103;TIMEOUT;None;436;300.126;9905;TIMEOUT;None;436;300.123;9905;TIMEOUT;None;436;300.121;6159;TIMEOUT;None;436;300.124;6600
instance_30_10_4_34;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.052;0
instance_30_10_4_35;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.042;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.032;0;UNSATISFIABLE;None;;0.037;0
instance_30_10_4_36;TIMEOUT;None;410;300.123;17953;TIMEOUT;None;410;300.127;24128;TIMEOUT;None;410;300.133;24139;TIMEOUT;None;410;300.131;18345;TIMEOUT;None;410;300.128;9912;TIMEOUT;None;410;300.135;9923;TIMEOUT;None;410;300.136;6893;TIMEOUT;None;410;300.134;7285
instance_30_10_4_37;TIMEOUT;None;444;300.13;15129;TIMEOUT;None;444;300.13;22366;TIMEOUT;None;444;300.129;22366;TIMEOUT;None;444;300.132;15550;TIMEOUT;None;444;300.133;9813;TIMEOUT;None;444;300.132;9813;TIMEOUT;None;444;300.123;6318;TIMEOUT;None;444;300.131;6739
instance_30_10_4_38;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.068;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.052;0
instance_30_10_4_39;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.051;0
instance_30_10_4_4;TIMEOUT;None;431;300.119;14595;TIMEOUT;None;431;300.128;21770;TIMEOUT;None;431;300.125;21790;TIMEOUT;None;431;300.121;15032;TIMEOUT;None;431;300.129;9388;TIMEOUT;None;431;300.124;9408;TIMEOUT;None;431;300.124;5914;TIMEOUT;None;431;300.131;6351
instance_30_10_4_40;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.072;0;UNSATISFIABLE;None;;0.073;0;UNSATISFIABLE;None;;0.041;0;UNSATISFIABLE;None;;0.059;0;UNSATISFIABLE;None;;0.059;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.039;0
instance_30_10_4_41;OPTIMUM;338.0;358 | 2 | 0 | 340;166.895;126255;OPTIMUM;338.0;358 | 2 | 0 | 340;222.0;133363;OPTIMUM;338.0;358 | 2 | 0 | 340;184.083;133387;OPTIMUM;338.0;358 | 2 | 0 | 340;153.166;126681;OPTIMUM;338.0;358 | 2 | 0 | 340;157.148;125370;OPTIMUM;338.0;358 | 2 | 0 | 340;227.611;125394;OPTIMUM;338.0;358 | 2 | 0 | 340;186.876;122023;OPTIMUM;338.0;358 | 2 | 0 | 340;197.141;122449
instance_30_10_4_42;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.042;0
instance_30_10_4_43;TIMEOUT;None;419;300.123;18422;TIMEOUT;None;419;300.131;24965;TIMEOUT;None;419;300.127;24971;TIMEOUT;None;419;300.129;18822;TIMEOUT;None;419;300.13;9509;TIMEOUT;None;419;300.137;9515;TIMEOUT;None;419;300.132;6319;TIMEOUT;None;419;300.133;6719
instance_30_10_4_44;UNSATISFIABLE;None;;0.069;0;UNSATISFIABLE;None;;0.096;0;UNSATISFIABLE;None;;0.097;0;UNSATISFIABLE;None;;0.061;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.068;0;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.047;0
instance_30_10_4_45;TIMEOUT;None;371 | 0 | 0;300.135;154948;TIMEOUT;None;371 | 0 | 0;300.134;162348;TIMEOUT;None;371 | 0 | 0;300.13;162356;TIMEOUT;None;371 | 0 | 0;300.13;155378;TIMEOUT;None;371 | 0 | 0;300.134;149576;TIMEOUT;None;371 | 0;300.136;91064;TIMEOUT;None;371 | 0 | 0;300.127;146025;TIMEOUT;None;371 | 0 | 0;300.131;146455
instance_30_10_4_46;UNSATISFIABLE;None;;0.027;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.028;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.025;0;UNSATISFIABLE;None;;0.028;0
instance_30_10_4_47;TIMEOUT;None;399;300.114;11712;TIMEOUT;None;399;300.125;18969;TIMEOUT;None;399;300.122;18986;TIMEOUT;None;399 | 0;300.134;82794;TIMEOUT;None;399;300.119;8528;TIMEOUT;None;399;300.117;8545;TIMEOUT;None;399;300.116;4993;TIMEOUT;None;399;300.121;5435
instance_30_10_4_48;OPTIMUM;373.0;377 | 0 | 0 | 373;43.944;133097;OPTIMUM;373.0;377 | 0 | 0 | 373;50.686;140055;OPTIMUM;373.0;377 | 0 | 0 | 373;80.404;140055;OPTIMUM;373.0;377 | 0 | 0 | 373;36.296;133511;OPTIMUM;373.0;377 | 0 | 0 | 373;85.925;130767;OPTIMUM;373.0;377 | 0 | 0 | 373;72.146;130767;OPTIMUM;373.0;377 | 0 | 0 | 373;73.603;127290;OPTIMUM;373.0;377 | 0 | 0 | 373;33.856;127704
instance_30_10_4_49;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.078;0;UNSATISFIABLE;None;;0.077;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.074;0;UNSATISFIABLE;None;;0.075;0;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.052;0
instance_30_10_4_5;TIMEOUT;None;424;300.129;13334;TIMEOUT;None;424;300.125;19570;TIMEOUT;None;424;300.124;19574;TIMEOUT;None;424;300.122;13721;TIMEOUT;None;424;300.127;8660;TIMEOUT;None;424;300.123;8664;TIMEOUT;None;424;300.12;5528;TIMEOUT;None;424;300.119;5915
instance_30_10_4_50;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.041;0
instance_30_10_4_6;TIMEOUT;None;391;300.127;15363;TIMEOUT;None;391;300.127;22694;TIMEOUT;None;391;300.126;22694;TIMEOUT;None;391 | 0;300.137;110428;TIMEOUT;None;391;300.129;9659;TIMEOUT;None;391;300.125;9659;TIMEOUT;None;391;300.121;6119;TIMEOUT;None;391;300.118;6119
instance_30_10_4_7;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.056;0;;;;;;UNSATISFIABLE;None;;0.046;0;UNSATISFIABLE;None;;0.036;0
instance_30_10_4_8;TIMEOUT;None;422;300.123;15326;TIMEOUT;None;422;300.124;22161;TIMEOUT;None;422;300.127;22170;TIMEOUT;None;422 | 1;300.132;116583;TIMEOUT;None;422;300.126;9114;;;;;;TIMEOUT;None;422;300.129;5743;TIMEOUT;None;422;300.126;6155
