cfg_id;label;instance_name;method;objective_mode;objective_policy;delta;similarity_reference_optimum;similarity_lower_bound;similarity_realized_loss_absolute;similarity_realized_loss_fraction;similarity_realized_loss_ratio;cardinality;ic;sb;status;elapsed_s;timeout_seconds;solve_s;solver_calls;variables;hard_clauses;soft_clauses;best_value;weighted_reference_score;similarity;continuity;overtime;coverage;stage_objectives;stage_optima
1;ORIGINAL;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0;;;;;;sorting-network;none;none;TIMEOUT;300.1285261;300.0;8.691269973;1;15458;60139;532;;;;;;;similarity_reference;421
1;TOT-none-none;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0;421;421;;;;totalizer;none;none;TIMEOUT;300.1193904;300.0;7.420033314;2;6161;62317;532;;;;;;;similarity_reference;421
1;TOT-none-none;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.01;421;417;;;;totalizer;none;none;TIMEOUT;300.1306342;300.0;9.353423232;2;6161;62317;532;;;;;;;similarity_reference;421
1;TOT-none-none;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.025;421;411;;;;totalizer;none;none;TIMEOUT;300.1261183;300.0;8.406987332;2;6161;62317;532;;;;;;;similarity_reference;421
1;TOT-none-none;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.05;421;400;;;;totalizer;none;none;TIMEOUT;300.1254514;300.0;9.380827703;2;6161;62317;532;;;;;;;similarity_reference;421
1;TOT-none-none;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.10;421;379;;;;totalizer;none;none;TIMEOUT;300.1263435;300.0;8.360140158;2;6161;62317;532;;;;;;;similarity_reference;421
2;TOT-none-ss;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0;421;421;;;;totalizer;none;slot-service;TIMEOUT;300.1220466;300.0;9.318644658;2;6167;62343;532;;;;;;;similarity_reference;421
2;TOT-none-ss;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.01;421;417;;;;totalizer;none;slot-service;TIMEOUT;300.1202297;300.0;9.355619616;2;6167;62343;532;;;;;;;similarity_reference;421
2;TOT-none-ss;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.025;421;411;;;;totalizer;none;slot-service;TIMEOUT;300.1258847;300.0;8.368632356;2;6167;62343;532;;;;;;;similarity_reference;421
2;TOT-none-ss;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.05;421;400;;;;totalizer;none;slot-service;TIMEOUT;300.1218134;300.0;8.40565361;2;6167;62343;532;;;;;;;similarity_reference;421
2;TOT-none-ss;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.10;421;379;;;;totalizer;none;slot-service;TIMEOUT;300.1218221;300.0;9.364728128;2;6167;62343;532;;;;;;;similarity_reference;421
3;TOT-both-none;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0;421;421;;;;totalizer;both;none;TIMEOUT;300.1243194;300.0;7.51892036;2;9576;78887;532;;;;;;;similarity_reference;421
3;TOT-both-none;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.01;421;417;;;;totalizer;both;none;TIMEOUT;300.1307634;300.0;7.6333336;2;9576;78887;532;;;;;;;similarity_reference;421
3;TOT-both-none;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.025;421;411;;;;totalizer;both;none;TIMEOUT;300.1212778;300.0;7.579565805;2;9576;78887;532;;;;;;;similarity_reference;421
3;TOT-both-none;instance_30_10_4_1;epsilon;epsilon-constraint;similarity-budget;0.05;421;400;;;;totalizer;both;none;TIMEOUT;300.1341501;300.0;7.599954999;2;9576;78887;532;;;;;;;similarity_reference;421
