instance_name;lex-continuity__ORIGINAL_status;lex-continuity__ORIGINAL_weighted_reference;lex-continuity__ORIGINAL_stages;lex-continuity__ORIGINAL_elapsed_s;lex-continuity__ORIGINAL_vars;lex-continuity__SN-both-none_status;lex-continuity__SN-both-none_weighted_reference;lex-continuity__SN-both-none_stages;lex-continuity__SN-both-none_elapsed_s;lex-continuity__SN-both-none_vars;lex-continuity__SN-both-ss_status;lex-continuity__SN-both-ss_weighted_reference;lex-continuity__SN-both-ss_stages;lex-continuity__SN-both-ss_elapsed_s;lex-continuity__SN-both-ss_vars;lex-continuity__SN-none-ss_status;lex-continuity__SN-none-ss_weighted_reference;lex-continuity__SN-none-ss_stages;lex-continuity__SN-none-ss_elapsed_s;lex-continuity__SN-none-ss_vars;lex-continuity__TOT-both-none_status;lex-continuity__TOT-both-none_weighted_reference;lex-continuity__TOT-both-none_stages;lex-continuity__TOT-both-none_elapsed_s;lex-continuity__TOT-both-none_vars;lex-continuity__TOT-both-ss_status;lex-continuity__TOT-both-ss_weighted_reference;lex-continuity__TOT-both-ss_stages;lex-continuity__TOT-both-ss_elapsed_s;lex-continuity__TOT-both-ss_vars;lex-continuity__TOT-none-none_status;lex-continuity__TOT-none-none_weighted_reference;lex-continuity__TOT-none-none_stages;lex-continuity__TOT-none-none_elapsed_s;lex-continuity__TOT-none-none_vars;lex-continuity__TOT-none-ss_status;lex-continuity__TOT-none-ss_weighted_reference;lex-continuity__TOT-none-ss_stages;lex-continuity__TOT-none-ss_elapsed_s;lex-continuity__TOT-none-ss_vars
instance_30_10_4_1;TIMEOUT;None;0 | 404;300.126;75519;TIMEOUT;None;0 | 404;300.129;82462;TIMEOUT;None;0 | 404;300.133;82468;TIMEOUT;None;0 | 404;300.137;75525;TIMEOUT;None;0 | 404;300.141;69637;TIMEOUT;None;0 | 404;300.138;69643;TIMEOUT;None;0 | 404;300.128;66222;TIMEOUT;None;0 | 404;300.135;66228
instance_30_10_4_10;TIMEOUT;None;0 | 389;300.133;74110;TIMEOUT;None;0 | 389;300.133;80902;TIMEOUT;None;0 | 389;300.142;80903;TIMEOUT;None;0 | 389;300.136;74516;TIMEOUT;None;0 | 389;300.138;66292;TIMEOUT;None;0 | 389;300.139;66293;TIMEOUT;None;0 | 389;300.133;62937;TIMEOUT;None;0 | 389;300.132;63343
instance_30_10_4_11;TIMEOUT;None;0 | 371;300.137;77953;TIMEOUT;None;0 | 371;300.134;84614;TIMEOUT;None;0 | 371;300.13;84614;TIMEOUT;None;0 | 371;300.129;78362;TIMEOUT;None;0 | 371;300.135;70659;TIMEOUT;None;0 | 371;300.135;70659;TIMEOUT;None;0 | 371;300.129;67347;TIMEOUT;None;0 | 371;300.132;67756
instance_30_10_4_12;TIMEOUT;None;0 | 374;300.129;67533;TIMEOUT;None;0 | 374;300.13;75018;TIMEOUT;None;0 | 374;300.135;75018;TIMEOUT;None;0 | 374;300.132;67954;TIMEOUT;None;0 | 374;300.137;60699;TIMEOUT;None;0 | 374;300.134;60699;TIMEOUT;None;0 | 374;300.132;57169;TIMEOUT;None;0 | 374;300.133;57590
instance_30_10_4_13;UNSATISFIABLE;None;;0.032;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.032;0;UNSATISFIABLE;None;;0.034;0
instance_30_10_4_14;UNSATISFIABLE;None;;0.046;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.033;0;UNSATISFIABLE;None;;0.035;0
instance_30_10_4_15;UNSATISFIABLE;None;;0.025;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.027;0;UNSATISFIABLE;None;;0.032;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.025;0;UNSATISFIABLE;None;;0.025;0
instance_30_10_4_16;TIMEOUT;None;0 | 427;300.135;85738;TIMEOUT;None;0 | 427;300.135;92599;TIMEOUT;None;0 | 427;300.132;92605;TIMEOUT;None;0 | 427;300.133;86154;TIMEOUT;None;0 | 427;300.133;77964;TIMEOUT;None;0 | 427;300.138;77970;TIMEOUT;None;0 | 427;300.132;74616;TIMEOUT;None;0 | 427;300.141;75032
instance_30_10_4_17;TIMEOUT;None;0 | 400;300.129;70709;TIMEOUT;None;0 | 400;300.126;77984;TIMEOUT;None;0 | 400;300.125;77993;TIMEOUT;None;0 | 400;300.125;71147;TIMEOUT;None;0 | 400;300.128;68379;TIMEOUT;None;0 | 400;300.133;68388;TIMEOUT;None;0 | 400;300.131;64831;TIMEOUT;None;0 | 400;300.129;65269
instance_30_10_4_18;TIMEOUT;None;0 | 397;300.132;73055;TIMEOUT;None;0 | 397;300.138;79848;TIMEOUT;None;0 | 397;300.132;79848;TIMEOUT;None;0 | 397;300.132;73055;TIMEOUT;None;0 | 397;300.132;70469;TIMEOUT;None;0 | 397;300.132;70469;TIMEOUT;None;0 | 397;300.128;67051;TIMEOUT;None;0 | 397;300.131;67051
instance_30_10_4_19;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.062;0;UNSATISFIABLE;None;;0.062;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.062;0;UNSATISFIABLE;None;;0.06;0;UNSATISFIABLE;None;;0.043;0;UNSATISFIABLE;None;;0.045;0
instance_30_10_4_2;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.074;0;UNSATISFIABLE;None;;0.072;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.06;0;UNSATISFIABLE;None;;0.062;0;UNSATISFIABLE;None;;0.044;0;UNSATISFIABLE;None;;0.046;0
instance_30_10_4_20;UNSATISFIABLE;None;;0.046;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.048;0
instance_30_10_4_21;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.073;0;UNSATISFIABLE;None;;0.075;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.061;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.06;0
instance_30_10_4_22;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.062;0;UNSATISFIABLE;None;;0.063;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.05;0
instance_30_10_4_23;TIMEOUT;None;0 | 378;300.129;84165;TIMEOUT;None;0 | 378;300.134;91556;TIMEOUT;None;0 | 378;300.136;91557;TIMEOUT;None;0 | 378;300.136;84584;TIMEOUT;None;0 | 378;300.136;76172;TIMEOUT;None;0 | 378;300.133;76173;TIMEOUT;None;0 | 378;300.135;72678;TIMEOUT;None;0 | 378;300.131;73097
instance_30_10_4_24;TIMEOUT;None;1 | 385;300.128;74154;TIMEOUT;None;1 | 385;300.136;81682;TIMEOUT;None;1 | 385;300.13;81685;TIMEOUT;None;1 | 385;300.137;74574;TIMEOUT;None;1 | 385;300.127;69564;TIMEOUT;None;1 | 385;300.131;69567;TIMEOUT;None;1 | 385;300.134;66122;TIMEOUT;None;1 | 385;300.132;66542
instance_30_10_4_25;TIMEOUT;None;0 | 443;300.14;64625;TIMEOUT;None;0 | 443;300.134;71939;TIMEOUT;None;0 | 443;300.136;71942;TIMEOUT;None;0 | 443;300.135;65053;TIMEOUT;None;0 | 443;300.131;57326;TIMEOUT;None;0 | 443;300.139;57329;TIMEOUT;None;0 | 443;300.138;53730;TIMEOUT;None;0 | 443;300.141;54158
instance_30_10_4_26;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.084;0;UNSATISFIABLE;None;;0.086;0;UNSATISFIABLE;None;;0.059;0;UNSATISFIABLE;None;;0.072;0;UNSATISFIABLE;None;;0.074;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.059;0
instance_30_10_4_27;TIMEOUT;None;4 | 368;300.131;79864;TIMEOUT;None;4 | 368;300.135;86887;TIMEOUT;None;4 | 368;300.133;86892;TIMEOUT;None;4 | 368;300.131;80291;TIMEOUT;None;4 | 368;300.127;74664;TIMEOUT;None;4 | 368;300.13;74669;TIMEOUT;None;4 | 368;300.132;71214;TIMEOUT;None;4 | 368;300.127;71641
instance_30_10_4_28;UNSATISFIABLE;None;;0.026;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.03;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.026;0;UNSATISFIABLE;None;;0.029;0
