cfg_id;label;instance_name;method;objective_mode;objective_policy;delta;similarity_reference_optimum;similarity_lower_bound;similarity_realized_loss_absolute;similarity_realized_loss_fraction;similarity_realized_loss_ratio;cardinality;ic;sb;status;elapsed_s;timeout_seconds;solve_s;solver_calls;variables;hard_clauses;soft_clauses;best_value;weighted_reference_score;similarity;continuity;overtime;coverage;stage_objectives;stage_optima
1;ORIGINAL;instance_30_10_4_1;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.125841;300.0;62.826046192;3;75519;180261;847;;;;;;;continuity | similarity;0 | 404
1;ORIGINAL;instance_30_10_4_10;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.1334883;300.0;55.339582584;3;74110;173735;825;;;;;;;continuity | similarity;0 | 389
1;ORIGINAL;instance_30_10_4_11;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.1366455;300.0;42.470992304;3;77953;179510;858;;;;;;;continuity | similarity;0 | 371
1;ORIGINAL;instance_30_10_4_12;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.1288235;300.0;53.707047999000004;3;67533;163091;781;;;;;;;continuity | similarity;0 | 374
1;ORIGINAL;instance_30_10_4_13;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.032020715;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_14;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.046408662;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_15;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.024600718;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_16;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.1352345;300.0;64.885059151;3;85738;203469;902;;;;;;;continuity | similarity;0 | 427
1;ORIGINAL;instance_30_10_4_17;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.1293397;300.0;49.431892102;3;70709;158165;847;;;;;;;continuity | similarity;0 | 400
1;ORIGINAL;instance_30_10_4_18;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.1320031;300.0;28.943947379;3;73055;164173;858;;;;;;;continuity | similarity;0 | 397
1;ORIGINAL;instance_30_10_4_19;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.055363982;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_2;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.063836087;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_20;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.046470435;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_21;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.053170299;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_22;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.048396864;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_23;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.1286239;300.0;42.544694902;3;84165;195710;891;;;;;;;continuity | similarity;0 | 378
1;ORIGINAL;instance_30_10_4_24;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.1277015;300.0;60.431134243;3;74154;170974;847;;;;;;;continuity | similarity;1 | 385
1;ORIGINAL;instance_30_10_4_25;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.1401139;300.0;54.854312927;3;64625;162295;748;;;;;;;continuity | similarity;0 | 443
1;ORIGINAL;instance_30_10_4_26;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.057717222;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_27;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.1309249;300.0;49.889967927;3;79864;176758;869;;;;;;;continuity | similarity;4 | 368
1;ORIGINAL;instance_30_10_4_28;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.026290311;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_29;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.04947865;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_3;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.047667134;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_30;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.1356739;300.0;40.048031784;3;77911;181606;836;;;;;;;continuity | similarity;1 | 362
1;ORIGINAL;instance_30_10_4_31;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.1316385;300.0;55.649579558999996;3;72364;166374;803;;;;;;;continuity | similarity;6 | 375
1;ORIGINAL;instance_30_10_4_32;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.1325893;300.0;55.715817548;3;82138;191211;891;;;;;;;continuity | similarity;0 | 419
1;ORIGINAL;instance_30_10_4_33;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.1277137;300.0;68.05030405;3;70163;167323;814;;;;;;;continuity | similarity;0 | 433
1;ORIGINAL;instance_30_10_4_34;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.048499014;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_35;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.043472933;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_36;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.1415891;300.0;52.259126025;3;71974;172132;803;;;;;;;continuity | similarity;0 | 385
1;ORIGINAL;instance_30_10_4_37;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.1327347;300.0;64.380803675;3;73650;176731;836;;;;;;;continuity | similarity;0 | 433
1;ORIGINAL;instance_30_10_4_38;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.052180215;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_39;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.045959693;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_4;lex-continuity;lexicographic;continuity-priority;-;;;;;;sorting-network;none;none;TIMEOUT;300.1343847;300.0;66.731861083;3;77796;183149;869;;;;;;;continuity | similarity;0 | 426
