instance_name;lex-overtime__ORIGINAL_status;lex-overtime__ORIGINAL_weighted_reference;lex-overtime__ORIGINAL_stages;lex-overtime__ORIGINAL_elapsed_s;lex-overtime__ORIGINAL_vars;lex-overtime__SN-both-none_status;lex-overtime__SN-both-none_weighted_reference;lex-overtime__SN-both-none_stages;lex-overtime__SN-both-none_elapsed_s;lex-overtime__SN-both-none_vars;lex-overtime__SN-both-ss_status;lex-overtime__SN-both-ss_weighted_reference;lex-overtime__SN-both-ss_stages;lex-overtime__SN-both-ss_elapsed_s;lex-overtime__SN-both-ss_vars;lex-overtime__SN-none-ss_status;lex-overtime__SN-none-ss_weighted_reference;lex-overtime__SN-none-ss_stages;lex-overtime__SN-none-ss_elapsed_s;lex-overtime__SN-none-ss_vars;lex-overtime__TOT-both-none_status;lex-overtime__TOT-both-none_weighted_reference;lex-overtime__TOT-both-none_stages;lex-overtime__TOT-both-none_elapsed_s;lex-overtime__TOT-both-none_vars;lex-overtime__TOT-both-ss_status;lex-overtime__TOT-both-ss_weighted_reference;lex-overtime__TOT-both-ss_stages;lex-overtime__TOT-both-ss_elapsed_s;lex-overtime__TOT-both-ss_vars;lex-overtime__TOT-none-none_status;lex-overtime__TOT-none-none_weighted_reference;lex-overtime__TOT-none-none_stages;lex-overtime__TOT-none-none_elapsed_s;lex-overtime__TOT-none-none_vars;lex-overtime__TOT-none-ss_status;lex-overtime__TOT-none-ss_weighted_reference;lex-overtime__TOT-none-ss_stages;lex-overtime__TOT-none-ss_elapsed_s;lex-overtime__TOT-none-ss_vars
instance_30_10_4_1;OPTIMUM;404.0;0 | 0 | 404;63.108;75519;OPTIMUM;404.0;0 | 0 | 404;63.758;82462;OPTIMUM;404.0;0 | 0 | 404;61.345;82468;OPTIMUM;404.0;0 | 0 | 404;61.01;75525;OPTIMUM;404.0;0 | 0 | 404;61.811;69637;OPTIMUM;404.0;0 | 0 | 404;60.841;69643;OPTIMUM;404.0;0 | 0 | 404;60.658;66222;OPTIMUM;404.0;0 | 0 | 404;60.716;66228
instance_30_10_4_10;OPTIMUM;389.0;0 | 0 | 389;55.533;74110;OPTIMUM;389.0;0 | 0 | 389;56.068;80902;OPTIMUM;389.0;0 | 0 | 389;55.875;80903;OPTIMUM;389.0;0 | 0 | 389;54.544;74516;OPTIMUM;389.0;0 | 0 | 389;55.404;66292;OPTIMUM;389.0;0 | 0 | 389;55.381;66293;OPTIMUM;389.0;0 | 0 | 389;54.699;62937;OPTIMUM;389.0;0 | 0 | 389;54.223;63343
instance_30_10_4_11;OPTIMUM;371.0;0 | 0 | 371;42.167;77953;OPTIMUM;371.0;0 | 0 | 371;43.883;84614;OPTIMUM;371.0;0 | 0 | 371;44.023;84614;OPTIMUM;371.0;0 | 0 | 371;42.745;78362;OPTIMUM;371.0;0 | 0 | 371;43.514;70659;OPTIMUM;371.0;0 | 0 | 371;42.797;70659;OPTIMUM;371.0;0 | 0 | 371;40.838;67347;OPTIMUM;371.0;0 | 0 | 371;41.805;67756
instance_30_10_4_12;OPTIMUM;374.0;0 | 0 | 374;49.97;67533;OPTIMUM;374.0;0 | 0 | 374;51.401;75018;OPTIMUM;374.0;0 | 0 | 374;51.254;75018;OPTIMUM;374.0;0 | 0 | 374;49.997;67954;OPTIMUM;374.0;0 | 0 | 374;50.789;60699;OPTIMUM;374.0;0 | 0 | 374;50.764;60699;OPTIMUM;374.0;0 | 0 | 374;49.57;57169;OPTIMUM;374.0;0 | 0 | 374;49.666;57590
instance_30_10_4_13;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.03;0;UNSATISFIABLE;None;;0.036;0
instance_30_10_4_14;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.036;0
instance_30_10_4_15;UNSATISFIABLE;None;;0.025;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.028;0;UNSATISFIABLE;None;;0.032;0;UNSATISFIABLE;None;;0.031;0;UNSATISFIABLE;None;;0.023;0;UNSATISFIABLE;None;;0.027;0
instance_30_10_4_16;OPTIMUM;427.0;0 | 0 | 427;65.157;85738;OPTIMUM;427.0;0 | 0 | 427;65.25;92599;OPTIMUM;427.0;0 | 0 | 427;65.943;92605;OPTIMUM;427.0;0 | 0 | 427;65.179;86154;OPTIMUM;427.0;0 | 0 | 427;63.764;77964;OPTIMUM;427.0;0 | 0 | 427;63.756;77970;OPTIMUM;427.0;0 | 0 | 427;63.729;74616;OPTIMUM;427.0;0 | 0 | 427;64.706;75032
instance_30_10_4_17;OPTIMUM;400.0;0 | 0 | 400;49.631;70709;OPTIMUM;400.0;0 | 0 | 400;50.065;77984;OPTIMUM;400.0;0 | 0 | 400;50.094;77993;OPTIMUM;400.0;0 | 0 | 400;50.816;71147;OPTIMUM;400.0;0 | 0 | 400;50.526;68379;OPTIMUM;400.0;0 | 0 | 400;49.626;68388;OPTIMUM;400.0;0 | 0 | 400;42.679;64831;OPTIMUM;400.0;0 | 0 | 400;47.008;65269
instance_30_10_4_18;OPTIMUM;397.0;0 | 0 | 397;29.123;73055;OPTIMUM;397.0;0 | 0 | 397;29.617;79848;OPTIMUM;397.0;0 | 0 | 397;29.495;79848;OPTIMUM;397.0;0 | 0 | 397;29.101;73055;OPTIMUM;397.0;0 | 0 | 397;29.126;70469;OPTIMUM;397.0;0 | 0 | 397;29.123;70469;OPTIMUM;397.0;0 | 0 | 397;28.193;67051;OPTIMUM;397.0;0 | 0 | 397;28.253;67051
