cfg_id;label;instance_name;method;objective_mode;objective_policy;delta;similarity_reference_optimum;similarity_lower_bound;similarity_realized_loss_absolute;similarity_realized_loss_fraction;similarity_realized_loss_ratio;cardinality;ic;sb;status;elapsed_s;timeout_seconds;solve_s;solver_calls;variables;hard_clauses;soft_clauses;best_value;weighted_reference_score;similarity;continuity;overtime;coverage;stage_objectives;stage_optima
1;ORIGINAL;instance_30_10_4_1;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;63.10777055;300.0;62.929282507;3;75519;180323;847;404.0;404.0;404.0;0.0;0.0;120.0;overtime | continuity | similarity;0 | 0 | 404
1;ORIGINAL;instance_30_10_4_10;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;55.53331673;300.0;55.354522343999996;3;74110;173776;825;389.0;389.0;389.0;0.0;0.0;120.0;overtime | continuity | similarity;0 | 0 | 389
1;ORIGINAL;instance_30_10_4_11;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;42.16740557;300.0;41.984555574;3;77953;179545;858;371.0;371.0;371.0;0.0;0.0;120.0;overtime | continuity | similarity;0 | 0 | 371
1;ORIGINAL;instance_30_10_4_12;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;49.97039197;300.0;49.798055044;3;67533;163135;781;374.0;374.0;374.0;0.0;0.0;120.0;overtime | continuity | similarity;0 | 0 | 374
1;ORIGINAL;instance_30_10_4_13;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.034418213;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_14;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.034685507;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_15;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.024553024;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_16;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;65.15735415;300.0;64.948905674;3;85738;203564;902;427.0;427.0;427.0;0.0;0.0;120.0;overtime | continuity | similarity;0 | 0 | 427
1;ORIGINAL;instance_30_10_4_17;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;49.63147021;300.0;49.464640384000006;3;70709;158210;847;400.0;400.0;400.0;0.0;0.0;120.0;overtime | continuity | similarity;0 | 0 | 400
1;ORIGINAL;instance_30_10_4_18;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;29.1225625;300.0;28.962402636;3;73055;164213;858;397.0;397.0;397.0;0.0;0.0;120.0;overtime | continuity | similarity;0 | 0 | 397
1;ORIGINAL;instance_30_10_4_19;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.042481363;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_2;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.054064068;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_20;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.033879623;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_21;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.042340588;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_22;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.039283322;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_23;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;42.65739485;300.0;42.46565187499999;3;84165;195755;891;378.0;378.0;378.0;0.0;0.0;120.0;overtime | continuity | similarity;0 | 0 | 378
1;ORIGINAL;instance_30_10_4_24;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;60.43041485;300.0;60.253675597;3;74154;171039;847;384.0;384.0;385.0;1.0;0.0;120.0;overtime | continuity | similarity;0 | 1 | 385
1;ORIGINAL;instance_30_10_4_25;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;54.1526633;300.0;53.972502527;3;64625;162368;748;443.0;443.0;443.0;0.0;0.0;120.0;overtime | continuity | similarity;0 | 0 | 443
1;ORIGINAL;instance_30_10_4_26;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.047450033;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_27;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;55.85845995;300.0;55.681810575;3;79864;176783;869;360.0;360.0;364.0;4.0;0.0;120.0;overtime | continuity | similarity;0 | 4 | 364
1;ORIGINAL;instance_30_10_4_28;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.027177627;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_29;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.03897279;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_3;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.036733513;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_30;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;42.97398933;300.0;42.789509317;3;77911;181646;836;358.0;358.0;359.0;1.0;0.0;120.0;overtime | continuity | similarity;0 | 1 | 359
1;ORIGINAL;instance_30_10_4_31;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;55.8909703;300.0;55.719711236;3;72364;166393;803;369.0;369.0;375.0;6.0;0.0;120.0;overtime | continuity | similarity;0 | 6 | 375
1;ORIGINAL;instance_30_10_4_32;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;56.97860212;300.0;56.791149222;3;82138;191286;891;419.0;419.0;419.0;0.0;0.0;120.0;overtime | continuity | similarity;0 | 0 | 419
1;ORIGINAL;instance_30_10_4_33;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;68.2261789;300.0;68.060584347;3;70163;167387;814;433.0;433.0;433.0;0.0;0.0;120.0;overtime | continuity | similarity;0 | 0 | 433
1;ORIGINAL;instance_30_10_4_34;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.040463127;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_35;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.034664623;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_36;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;52.43095578;300.0;52.250850226;3;71974;172182;803;385.0;385.0;385.0;0.0;0.0;120.0;overtime | continuity | similarity;0 | 0 | 385
1;ORIGINAL;instance_30_10_4_37;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;64.79524851;300.0;64.618780304;3;73650;176797;836;432.0;432.0;432.0;0.0;0.0;120.0;overtime | continuity | similarity;0 | 0 | 432
1;ORIGINAL;instance_30_10_4_38;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.040537237;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_39;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.035163384;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_4;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;66.8110045;300.0;66.63685603799999;3;77796;183199;869;426.0;426.0;426.0;0.0;0.0;120.0;overtime | continuity | similarity;0 | 0 | 426
1;ORIGINAL;instance_30_10_4_40;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.045546959;300.0;0;1;0;0;0;;;;;;;;
1;ORIGINAL;instance_30_10_4_41;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;OPTIMUM;25.88387185;300.0;25.737371326999998;3;68385;147486;836;338.0;338.0;340.0;2.0;0.0;120.0;overtime | continuity | similarity;0 | 2 | 340
1;ORIGINAL;instance_30_10_4_42;lex-overtime;lexicographic;overtime-priority;-;;;;;;sorting-network;none;none;UNSATISFIABLE;0.038247628;300.0;0;1;0;0;0;;;;;;;;
