instance_name;weighted__ORIGINAL_status;weighted__ORIGINAL_weighted_reference;weighted__ORIGINAL_stages;weighted__ORIGINAL_elapsed_s;weighted__ORIGINAL_vars;weighted__SN-both-none_status;weighted__SN-both-none_weighted_reference;weighted__SN-both-none_stages;weighted__SN-both-none_elapsed_s;weighted__SN-both-none_vars;weighted__SN-both-ss_status;weighted__SN-both-ss_weighted_reference;weighted__SN-both-ss_stages;weighted__SN-both-ss_elapsed_s;weighted__SN-both-ss_vars;weighted__SN-none-ss_status;weighted__SN-none-ss_weighted_reference;weighted__SN-none-ss_stages;weighted__SN-none-ss_elapsed_s;weighted__SN-none-ss_vars;weighted__TOT-both-none_status;weighted__TOT-both-none_weighted_reference;weighted__TOT-both-none_stages;weighted__TOT-both-none_elapsed_s;weighted__TOT-both-none_vars;weighted__TOT-both-ss_status;weighted__TOT-both-ss_weighted_reference;weighted__TOT-both-ss_stages;weighted__TOT-both-ss_elapsed_s;weighted__TOT-both-ss_vars;weighted__TOT-none-none_status;weighted__TOT-none-none_weighted_reference;weighted__TOT-none-none_stages;weighted__TOT-none-none_elapsed_s;weighted__TOT-none-none_vars;weighted__TOT-none-ss_status;weighted__TOT-none-ss_weighted_reference;weighted__TOT-none-ss_stages;weighted__TOT-none-ss_elapsed_s;weighted__TOT-none-ss_vars
instance_30_10_4_1;OPTIMUM;416.0;416;12.813;15458;OPTIMUM;416.0;416;15.715;22401;OPTIMUM;416.0;416;18.242;22407;OPTIMUM;416.0;416;12.175;15464;OPTIMUM;416.0;416;11.245;9576;OPTIMUM;416.0;416;13.846;9582;OPTIMUM;416.0;416;11.367;6161;OPTIMUM;416.0;416;12.48;6167
instance_30_10_4_10;OPTIMUM;403.0;403;12.914;17109;OPTIMUM;403.0;403;9.696;23901;OPTIMUM;403.0;403;11.223;23902;OPTIMUM;403.0;403;10.08;17515;OPTIMUM;403.0;403;9.594;9291;OPTIMUM;403.0;403;13.101;9292;OPTIMUM;403.0;403;10.681;5936;OPTIMUM;403.0;403;8.475;6342
instance_30_10_4_11;OPTIMUM;390.0;390;17.529;16332;OPTIMUM;390.0;390;17.444;22993;OPTIMUM;390.0;390;13.489;22993;OPTIMUM;390.0;390;15.514;16741;OPTIMUM;390.0;390;16.353;9038;OPTIMUM;390.0;390;16.085;9038;OPTIMUM;390.0;390;19.342;5726;OPTIMUM;390.0;390;16.792;6135
instance_30_10_4_12;OPTIMUM;387.0;387;21.276;16412;OPTIMUM;387.0;387;30.946;23897;OPTIMUM;387.0;387;27.427;23897;OPTIMUM;387.0;387;12.468;16833;OPTIMUM;387.0;387;13.709;9578;OPTIMUM;387.0;387;16.784;9578;OPTIMUM;387.0;387;16.336;6048;OPTIMUM;387.0;387;23.498;6469
instance_30_10_4_13;UNSATISFIABLE;None;;0.045;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.044;0;UNSATISFIABLE;None;;0.045;0
instance_30_10_4_14;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.059;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.044;0;UNSATISFIABLE;None;;0.047;0
instance_30_10_4_15;UNSATISFIABLE;None;;0.025;0;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.029;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.045;0;UNSATISFIABLE;None;;0.027;0;UNSATISFIABLE;None;;0.027;0
instance_30_10_4_16;OPTIMUM;431.0;431;9.104;17677;OPTIMUM;431.0;431;12.137;24538;OPTIMUM;431.0;431;15.613;24544;OPTIMUM;431.0;431;10.455;18093;OPTIMUM;431.0;431;12.387;9903;OPTIMUM;431.0;431;11.242;9909;OPTIMUM;431.0;431;13.632;6555;OPTIMUM;431.0;431;11.91;6971
instance_30_10_4_17;OPTIMUM;400.0;400;4.447;10648;OPTIMUM;400.0;400;3.918;17923;OPTIMUM;400.0;400;4.049;17932;OPTIMUM;400.0;400;3.724;11086;OPTIMUM;400.0;400;5.113;8318;OPTIMUM;400.0;400;3.438;8327;OPTIMUM;400.0;400;4.408;4770;OPTIMUM;400.0;400;2.347;5208
instance_30_10_4_18;OPTIMUM;408.0;408;5.577;11434;OPTIMUM;408.0;408;3.789;18227;OPTIMUM;408.0;408;3.788;18227;OPTIMUM;408.0;408;5.587;11434;OPTIMUM;408.0;408;6.211;8848;OPTIMUM;408.0;408;6.193;8848;OPTIMUM;408.0;408;6.726;5430;OPTIMUM;408.0;408;6.712;5430
instance_30_10_4_19;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.086;0;UNSATISFIABLE;None;;0.087;0;UNSATISFIABLE;None;;0.068;0;UNSATISFIABLE;None;;0.071;0;UNSATISFIABLE;None;;0.071;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.066;0
instance_30_10_4_2;UNSATISFIABLE;None;;0.075;0;UNSATISFIABLE;None;;0.095;0;UNSATISFIABLE;None;;0.097;0;UNSATISFIABLE;None;;0.078;0;UNSATISFIABLE;None;;0.068;0;UNSATISFIABLE;None;;0.069;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.066;0
instance_30_10_4_20;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.049;0
instance_30_10_4_21;UNSATISFIABLE;None;;0.076;0;UNSATISFIABLE;None;;0.098;0;UNSATISFIABLE;None;;0.099;0;UNSATISFIABLE;None;;0.08;0;UNSATISFIABLE;None;;0.082;0;UNSATISFIABLE;None;;0.085;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.07;0
instance_30_10_4_22;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.079;0;UNSATISFIABLE;None;;0.07;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.059;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.051;0
instance_30_10_4_23;OPTIMUM;379.0;379;10.054;17744;OPTIMUM;379.0;379;11.628;25135;OPTIMUM;379.0;379;11.733;25136;OPTIMUM;379.0;379;11.32;18163;OPTIMUM;379.0;379;11.395;9751;OPTIMUM;379.0;379;8.444;9752;OPTIMUM;379.0;379;5.664;6257;OPTIMUM;379.0;379;9.32;6676
instance_30_10_4_24;OPTIMUM;387.0;387;3.728;13402;OPTIMUM;387.0;387;9.229;20930;OPTIMUM;387.0;387;5.429;20933;OPTIMUM;387.0;387;3.9;13822;OPTIMUM;387.0;387;8.962;8812;OPTIMUM;387.0;387;8.548;8815;OPTIMUM;387.0;387;10.274;5370;OPTIMUM;387.0;387;5.921;5790
instance_30_10_4_25;OPTIMUM;444.0;444;15.89;17704;OPTIMUM;444.0;444;15.481;25018;OPTIMUM;444.0;444;18.109;25021;OPTIMUM;444.0;444;15.137;18132;OPTIMUM;444.0;444;14.113;10405;OPTIMUM;444.0;444;14.418;10408;OPTIMUM;444.0;444;17.833;6809;OPTIMUM;444.0;444;17.364;7237
instance_30_10_4_26;UNSATISFIABLE;None;;0.079;0;UNSATISFIABLE;None;;0.107;0;UNSATISFIABLE;None;;0.108;0;UNSATISFIABLE;None;;0.082;0;UNSATISFIABLE;None;;0.091;0;UNSATISFIABLE;None;;0.093;0;UNSATISFIABLE;None;;0.069;0;UNSATISFIABLE;None;;0.07;0
instance_30_10_4_27;OPTIMUM;390.0;390;17.956;13839;OPTIMUM;390.0;390;19.626;20862;OPTIMUM;390.0;390;19.399;20867;OPTIMUM;390.0;390;16.531;14266;OPTIMUM;390.0;390;15.307;8639;OPTIMUM;390.0;390;15.413;8644;OPTIMUM;390.0;390;13.123;5189;OPTIMUM;390.0;390;14.977;5616
instance_30_10_4_28;UNSATISFIABLE;None;;0.028;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.027;0;UNSATISFIABLE;None;;0.03;0
instance_30_10_4_29;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.063;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.05;0
instance_30_10_4_3;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.077;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.051;0
